"order_number","sales_channel","warehouse_code","procured_date","order_date","ship_date","delivery_date","currency_code","sales_team_id","customer_id","store_id","product_id","order_quantity","discount_applied","unit_cost","unit_price"
"SO - 0002176","Wholesale","WARE-MKL1006","27/10/18","26/1/19","30/1/19","31/1/19","USD",26,44,333,42,6,0.3,"1242.85","2485.70"
"SO - 0002177","Online","WARE-UHY1004","27/10/18","26/1/19","10/2/19","15/2/19","USD",14,42,227,47,6,0.2,"707.79","931.3"
"SO - 0002178","In-Store","WARE-PUJ1005","27/10/18","26/1/19","11/2/19","20/2/19","USD",2,27,310,8,3,0.05,"856.39","1112.20"
"SO - 0002179","Online","WARE-NMK1003","27/10/18","26/1/19","31/1/19","6/2/19","USD",13,20,98,31,6,0.075,"465.78","1058.60"
"SO - 0002180","In-Store","WARE-XYS1001","27/10/18","26/1/19","14/2/19","23/2/19","USD",2,42,51,43,8,0.15,"824.9","1018.40"
"SO - 0002181","Online","WARE-PUJ1005","27/10/18","27/1/19","4/2/19","5/2/19","USD",12,33,284,42,3,0.05,"1091.97","1882.70"
"SO - 0002182","Online","WARE-XYS1001","27/10/18","27/1/19","3/2/19","12/2/19","USD",13,12,22,39,7,0.1,"563.81","1025.10"
"SO - 0002183","In-Store","WARE-PUJ1005","27/10/18","27/1/19","11/2/19","14/2/19","USD",1,49,301,42,4,0.075,"4176.65","5882.60"
"SO - 0002184","Online","WARE-XYS1001","27/10/18","27/1/19","8/2/19","16/2/19","USD",16,17,48,39,1,0.15,"866.71","1125.60"
"SO - 0002185","Online","WARE-XYS1001","27/10/18","27/1/19","19/2/19","26/2/19","USD",15,34,43,28,5,0.1,"920.98","1165.80"
"SO - 0002186","Online","WARE-NMK1003","27/10/18","27/1/19","29/1/19","3/2/19","USD",19,41,127,36,8,0.2,"3533.18","5353.30"
"SO - 0002187","Wholesale","WARE-NMK1003","27/10/18","27/1/19","14/2/19","17/2/19","USD",28,32,103,14,7,0.1,"1989.90","3979.80"
"SO - 0002188","Wholesale","WARE-XYS1001","27/10/18","27/1/19","15/2/19","17/2/19","USD",26,13,21,16,6,0.075,"126.3","194.3"
"SO - 0002189","In-Store","WARE-UHY1004","27/10/18","27/1/19","23/2/19","5/3/19","USD",3,21,246,10,3,0.2,"2812.33","3852.50"
"SO - 0002190","Online","WARE-MKL1006","27/10/18","27/1/19","18/2/19","27/2/19","USD",12,19,344,30,1,0.075,"2555.11","6083.60"
"SO - 0002191","Distributor","WARE-MKL1006","27/10/18","27/1/19","13/2/19","14/2/19","USD",21,37,365,28,2,0.05,"2538.23","6190.80"
"SO - 0002192","Wholesale","WARE-UHY1004","27/10/18","28/1/19","22/2/19","4/3/19","USD",26,44,253,35,8,0.05,"2966.43","3852.50"
"SO - 0002193","Online","WARE-UHY1004","27/10/18","28/1/19","24/2/19","4/3/19","USD",13,50,253,11,7,0.075,"850.3","1735.30"
"SO - 0002194","In-Store","WARE-NMK1003","27/10/18","28/1/19","17/2/19","27/2/19","USD",4,27,143,8,3,0.3,"1098.80","2680.00"
"SO - 0002195","In-Store","WARE-NMK1003","27/10/18","28/1/19","22/2/19","26/2/19","USD",7,48,133,27,3,0.075,"686.75","1675.00"
"SO - 0002196","Distributor","WARE-UHY1004","27/10/18","28/1/19","25/2/19","4/3/19","USD",24,23,240,16,3,0.075,"908.12","1681.70"
"SO - 0002197","Distributor","WARE-PUJ1005","27/10/18","28/1/19","25/2/19","28/2/19","USD",25,38,313,3,8,0.1,"2374.55","3892.70"
"SO - 0002198","Distributor","WARE-MKL1006","27/10/18","28/1/19","14/2/19","20/2/19","USD",23,48,356,5,3,0.1,"1870.51","3979.80"
"SO - 0002199","Distributor","WARE-UHY1004","27/10/18","28/1/19","10/2/19","12/2/19","USD",24,41,239,36,1,0.075,"507.06","1152.40"
"SO - 0002200","Online","WARE-MKL1006","27/10/18","28/1/19","31/1/19","1/2/19","USD",15,38,348,6,1,0.1,"1565.79","3819.00"
"SO - 0002201","In-Store","WARE-PUJ1005","27/10/18","28/1/19","19/2/19","27/2/19","USD",10,24,268,47,5,0.075,"1955.86","2385.20"
"SO - 0002202","Distributor","WARE-NMK1003","27/10/18","28/1/19","6/2/19","13/2/19","USD",24,8,106,29,3,0.075,"2056.03","3879.30"
"SO - 0002203","Online","WARE-XYS1001","27/10/18","28/1/19","22/2/19","4/3/19","USD",15,18,32,20,8,0.075,"2405.97","3819.00"
"SO - 0002204","In-Store","WARE-PUJ1005","27/10/18","28/1/19","20/2/19","28/2/19","USD",8,49,261,36,7,0.075,"141.24","207.7"
"SO - 0002205","In-Store","WARE-NMK1003","27/10/18","28/1/19","20/2/19","23/2/19","USD",1,33,175,18,4,0.075,"884.4","1105.50"
"SO - 0002206","In-Store","WARE-NBV1002","27/10/18","28/1/19","1/2/19","10/2/19","USD",12,25,73,41,3,0.1,"109.75","174.2"
"SO - 0002207","In-Store","WARE-NBV1002","27/10/18","28/1/19","24/2/19","26/2/19","USD",6,5,65,44,1,0.075,"773.98","1018.40"
"SO - 0002208","In-Store","WARE-NBV1002","27/10/18","29/1/19","22/2/19","28/2/19","USD",11,43,86,38,8,0.075,"1161.91","2525.90"
"SO - 0002209","Online","WARE-PUJ1005","27/10/18","29/1/19","3/2/19","12/2/19","USD",20,3,287,40,7,0.3,"2354.11","3859.20"
"SO - 0002210","Distributor","WARE-MKL1006","27/10/18","29/1/19","11/2/19","14/2/19","USD",22,20,341,38,1,0.075,"1522.24","2378.50"
"SO - 0002211","In-Store","WARE-NMK1003","27/10/18","29/1/19","7/2/19","17/2/19","USD",10,11,107,7,3,0.2,"1386.90","2010.00"
"SO - 0002212","In-Store","WARE-NBV1002","27/10/18","29/1/19","13/2/19","17/2/19","USD",12,6,80,6,2,0.05,"1585.02","3865.90"
"SO - 0002213","Online","WARE-XYS1001","27/10/18","29/1/19","3/2/19","8/2/19","USD",13,30,31,9,3,0.05,"1242.31","1701.80"
"SO - 0002214","In-Store","WARE-NMK1003","27/10/18","29/1/19","20/2/19","26/2/19","USD",2,49,178,16,1,0.1,"944.7","1889.40"
"SO - 0002215","Wholesale","WARE-NMK1003","27/10/18","29/1/19","18/2/19","19/2/19","USD",27,3,178,16,6,0.1,"114.97","221.1"
"SO - 0002216","Online","WARE-NMK1003","27/10/18","29/1/19","9/2/19","12/2/19","USD",13,4,115,27,3,0.1,"492.45","984.9"
"SO - 0002217","Wholesale","WARE-XYS1001","27/10/18","29/1/19","14/2/19","23/2/19","USD",26,21,7,1,1,0.075,"483.47","1098.80"
"SO - 0002218","In-Store","WARE-NMK1003","27/10/18","30/1/19","18/2/19","28/2/19","USD",5,34,101,24,7,0.1,"577.41","931.3"
"SO - 0002219","Online","WARE-UHY1004","27/10/18","30/1/19","24/2/19","1/3/19","USD",18,41,214,3,1,0.075,"4456.71","5641.40"
"SO - 0002220","Distributor","WARE-PUJ1005","27/10/18","30/1/19","22/2/19","27/2/19","USD",21,28,316,2,1,0.15,"788.32","1065.30"
"SO - 0002221","In-Store","WARE-XYS1001","27/10/18","30/1/19","8/2/19","14/2/19","USD",8,7,42,4,5,0.1,"857.47","1058.60"
"SO - 0002222","Wholesale","WARE-XYS1001","27/10/18","30/1/19","19/2/19","28/2/19","USD",27,19,7,9,6,0.1,"902.83","1842.50"
"SO - 0002223","In-Store","WARE-NMK1003","27/10/18","31/1/19","19/2/19","21/2/19","USD",2,21,183,22,7,0.075,"1619.26","2840.80"
"SO - 0002224","In-Store","WARE-MKL1006","27/10/18","31/1/19","25/2/19","7/3/19","USD",10,48,338,25,4,0.075,"2020.72","3886.00"
"SO - 0002225","Wholesale","WARE-PUJ1005","27/10/18","31/1/19","13/2/19","14/2/19","USD",26,26,279,28,6,0.075,"1084.19","1869.30"
"SO - 0002226","Distributor","WARE-PUJ1005","27/10/18","31/1/19","21/2/19","3/3/19","USD",21,30,320,44,7,0.075,"825.44","1072.00"
"SO - 0002227","Online","WARE-PUJ1005","27/10/18","31/1/19","24/2/19","28/2/19","USD",16,41,304,42,4,0.15,"857.94","1319.90"
"SO - 0002228","Online","WARE-NMK1003","27/10/18","31/1/19","22/2/19","2/3/19","USD",13,39,195,36,5,0.15,"1762.90","3832.40"
"SO - 0002229","In-Store","WARE-NMK1003","27/10/18","31/1/19","24/2/19","25/2/19","USD",7,14,145,37,5,0.3,"2069.50","2653.20"
"SO - 0002230","In-Store","WARE-PUJ1005","27/10/18","1/2/19","1/3/19","10/3/19","USD",2,4,302,42,1,0.4,"1149.18","1715.20"
"SO - 0002231","Wholesale","WARE-UHY1004","27/10/18","1/2/19","10/2/19","14/2/19","USD",26,22,242,22,6,0.1,"1615.44","3437.10"
"SO - 0002232","Online","WARE-NBV1002","27/10/18","1/2/19","10/2/19","11/2/19","USD",16,4,84,35,1,0.3,"2581.18","3852.50"
"SO - 0002233","Online","WARE-MKL1006","27/10/18","1/2/19","21/2/19","23/2/19","USD",16,6,355,46,5,0.05,"1552.12","1989.90"
"SO - 0002234","Online","WARE-NMK1003","27/10/18","1/2/19","28/2/19","4/3/19","USD",14,23,124,17,3,0.05,"827.99","1118.90"
"SO - 0002235","Distributor","WARE-UHY1004","27/10/18","2/2/19","7/2/19","12/2/19","USD",21,40,243,15,2,0.075,"709.87","1092.10"
"SO - 0002236","In-Store","WARE-PUJ1005","27/10/18","2/2/19","12/2/19","15/2/19","USD",2,29,301,35,7,0.05,"1154.54","2405.30"
"SO - 0002237","Online","WARE-UHY1004","27/10/18","2/2/19","11/2/19","21/2/19","USD",12,4,235,25,2,0.4,"446.56","1038.50"
"SO - 0002238","Wholesale","WARE-NMK1003","27/10/18","2/2/19","10/2/19","11/2/19","USD",26,21,90,8,6,0.1,"546.85","1031.80"
"SO - 0002239","Online","WARE-NMK1003","27/10/18","2/2/19","18/2/19","24/2/19","USD",18,29,154,32,5,0.05,"1443.58","2532.60"
"SO - 0002240","In-Store","WARE-NMK1003","27/10/18","3/2/19","26/2/19","8/3/19","USD",5,31,139,27,2,0.1,"1557.15","2552.70"
"SO - 0002241","In-Store","WARE-PUJ1005","27/10/18","3/2/19","5/2/19","12/2/19","USD",4,9,272,19,3,0.05,"829.06","1802.30"
"SO - 0002242","In-Store","WARE-PUJ1005","27/10/18","3/2/19","19/2/19","1/3/19","USD",1,40,321,28,7,0.1,"694.66","1085.40"
"SO - 0002243","Wholesale","WARE-MKL1006","27/10/18","3/2/19","26/2/19","1/3/19","USD",26,35,363,24,4,0.15,"2354.38","3363.40"
"SO - 0002244","Distributor","WARE-NMK1003","27/10/18","3/2/19","23/2/19","24/2/19","USD",24,32,193,47,5,0.05,"2280.68","5701.70"
"SO - 0002245","Online","WARE-MKL1006","27/10/18","3/2/19","24/2/19","2/3/19","USD",15,6,353,32,4,0.2,"125.42","174.2"
"SO - 0002246","Distributor","WARE-NMK1003","27/10/18","3/2/19","3/3/19","9/3/19","USD",24,11,168,21,2,0.1,"671.14","1065.30"
"SO - 0002247","Online","WARE-PUJ1005","27/10/18","3/2/19","15/2/19","25/2/19","USD",18,46,276,9,6,0.1,"928.62","1105.50"
"SO - 0002248","In-Store","WARE-MKL1006","27/10/18","3/2/19","16/2/19","24/2/19","USD",7,40,348,19,5,0.15,"108.88","167.5"
"SO - 0002249","Wholesale","WARE-PUJ1005","27/10/18","4/2/19","16/2/19","23/2/19","USD",26,24,300,22,7,0.1,"3001.60","3752.00"
"SO - 0002250","Wholesale","WARE-PUJ1005","27/10/18","4/2/19","18/2/19","21/2/19","USD",28,41,279,19,6,0.075,"576.87","703.5"
"SO - 0002251","Online","WARE-NMK1003","27/10/18","4/2/19","18/2/19","26/2/19","USD",13,19,174,27,4,0.05,"772.11","1795.60"
"SO - 0002252","In-Store","WARE-XYS1001","27/10/18","4/2/19","13/2/19","20/2/19","USD",9,45,56,36,1,0.05,"2300.65","3899.40"
"SO - 0002253","Online","WARE-NMK1003","27/10/18","4/2/19","4/3/19","7/3/19","USD",14,48,130,6,1,0.075,"803.2","991.6"
"SO - 0002254","Online","WARE-MKL1006","27/10/18","4/2/19","23/2/19","27/2/19","USD",16,13,357,25,1,0.15,"1193.47","2539.30"
"SO - 0002255","In-Store","WARE-UHY1004","27/10/18","4/2/19","21/2/19","24/2/19","USD",8,34,236,12,1,0.075,"704.77","1051.90"
"SO - 0002256","In-Store","WARE-NMK1003","27/10/18","5/2/19","1/3/19","5/3/19","USD",12,24,178,41,3,0.2,"501.16","911.2"
"SO - 0002257","Online","WARE-XYS1001","27/10/18","5/2/19","19/2/19","28/2/19","USD",18,2,30,25,3,0.075,"3325.88","3912.80"
"SO - 0002258","Distributor","WARE-PUJ1005","27/10/18","5/2/19","3/3/19","6/3/19","USD",23,48,312,7,5,0.075,"708.79","998.3"
"SO - 0002259","Distributor","WARE-XYS1001","27/10/18","5/2/19","8/2/19","14/2/19","USD",21,2,17,3,6,0.05,"433.36","1031.80"
"SO - 0002260","Distributor","WARE-NMK1003","27/10/18","5/2/19","19/2/19","1/3/19","USD",21,10,147,39,4,0.1,"1459.46","2753.70"
"SO - 0002261","Wholesale","WARE-NBV1002","27/10/18","5/2/19","8/2/19","12/2/19","USD",26,36,76,41,7,0.4,"143.05","234.5"
"SO - 0002262","Online","WARE-XYS1001","27/10/18","5/2/19","14/2/19","24/2/19","USD",20,35,42,42,2,0.05,"702.03","1132.30"
"SO - 0002263","In-Store","WARE-UHY1004","27/10/18","5/2/19","27/2/19","2/3/19","USD",5,37,219,39,2,0.1,"449.97","978.2"
"SO - 0002264","In-Store","WARE-MKL1006","27/10/18","5/2/19","8/2/19","18/2/19","USD",8,26,359,29,6,0.075,"1938.58","2619.70"
"SO - 0002265","Wholesale","WARE-XYS1001","27/10/18","5/2/19","21/2/19","2/3/19","USD",26,33,21,16,7,0.15,"528.56","1078.70"
"SO - 0002266","Wholesale","WARE-XYS1001","27/10/18","5/2/19","1/3/19","3/3/19","USD",28,16,29,5,2,0.05,"804.8","1829.10"
"SO - 0002267","Distributor","WARE-NMK1003","27/10/18","6/2/19","5/3/19","13/3/19","USD",21,42,149,22,1,0.05,"508.87","1038.50"
"SO - 0002268","Online","WARE-UHY1004","27/10/18","6/2/19","26/2/19","8/3/19","USD",19,31,249,9,5,0.05,"1894.22","3946.30"
"SO - 0002269","Online","WARE-PUJ1005","27/10/18","6/2/19","4/3/19","13/3/19","USD",18,24,295,23,1,0.05,"2596.85","5299.70"
"SO - 0002270","In-Store","WARE-NMK1003","27/10/18","6/2/19","2/3/19","5/3/19","USD",8,37,202,15,6,0.15,"1442.71","2365.10"
"SO - 0002271","Distributor","WARE-XYS1001","27/10/18","6/2/19","8/2/19","16/2/19","USD",23,6,47,5,3,0.15,"120.6","268"
"SO - 0002272","Wholesale","WARE-NMK1003","27/10/18","6/2/19","9/2/19","18/2/19","USD",27,22,136,28,8,0.075,"785.91","1139.00"
"SO - 0002273","Distributor","WARE-NMK1003","27/10/18","6/2/19","14/2/19","15/2/19","USD",25,19,148,21,6,0.05,"751.74","1139.00"
"SO - 0002274","Online","WARE-MKL1006","27/10/18","6/2/19","20/2/19","27/2/19","USD",18,13,352,7,2,0.3,"148.74","247.9"
"SO - 0002275","Online","WARE-NMK1003","27/10/18","6/2/19","28/2/19","6/3/19","USD",15,14,190,36,5,0.4,"1806.05","3926.20"
"SO - 0002276","Online","WARE-UHY1004","27/10/18","6/2/19","25/2/19","5/3/19","USD",14,8,218,22,8,0.05,"712.88","938"
"SO - 0002277","In-Store","WARE-PUJ1005","27/10/18","7/2/19","24/2/19","6/3/19","USD",5,44,297,31,6,0.075,"2417.03","3718.50"
"SO - 0002278","In-Store","WARE-PUJ1005","27/10/18","7/2/19","22/2/19","24/2/19","USD",6,50,281,17,4,0.05,"1335.04","2472.30"
"SO - 0002279","Wholesale","WARE-NMK1003","27/10/18","7/2/19","2/3/19","5/3/19","USD",26,21,100,45,5,0.05,"3080.66","5601.20"
"SO - 0002280","Online","WARE-XYS1001","27/10/18","7/2/19","16/2/19","20/2/19","USD",16,39,24,33,3,0.3,"1861.06","3959.70"
"SO - 0002281","Online","WARE-NMK1003","27/10/18","7/2/19","19/2/19","20/2/19","USD",18,1,155,34,5,0.15,"720.92","1802.30"
"SO - 0002282","In-Store","WARE-XYS1001","27/10/18","7/2/19","27/2/19","1/3/19","USD",3,39,30,7,3,0.05,"1596.34","2418.70"
"SO - 0002283","Distributor","WARE-XYS1001","27/10/18","7/2/19","10/2/19","14/2/19","USD",21,37,40,41,6,0.05,"1065.84","1299.80"
"SO - 0002284","Distributor","WARE-NMK1003","27/10/18","7/2/19","18/2/19","26/2/19","USD",21,4,169,20,6,0.1,"682.53","1118.90"
"SO - 0002285","In-Store","WARE-PUJ1005","27/10/18","7/2/19","14/2/19","19/2/19","USD",8,29,290,27,6,0.1,"1573.16","3932.90"
"SO - 0002286","Distributor","WARE-UHY1004","27/10/18","7/2/19","28/2/19","1/3/19","USD",21,2,212,38,1,0.075,"95.07","221.1"
"SO - 0002287","In-Store","WARE-XYS1001","27/10/18","7/2/19","6/3/19","10/3/19","USD",4,24,30,22,2,0.1,"93.8","187.6"
"SO - 0002288","Distributor","WARE-NMK1003","27/10/18","8/2/19","8/3/19","18/3/19","USD",23,34,152,8,7,0.05,"1324.26","2244.50"
"SO - 0002289","Online","WARE-UHY1004","27/10/18","8/2/19","8/3/19","10/3/19","USD",18,35,206,41,7,0.3,"1799.75","2432.10"
"SO - 0002290","In-Store","WARE-UHY1004","27/10/18","8/2/19","19/2/19","25/2/19","USD",7,7,225,22,5,0.05,"3337.94","6298.00"
"SO - 0002291","In-Store","WARE-NBV1002","27/10/18","8/2/19","13/2/19","21/2/19","USD",3,3,63,6,8,0.05,"1476.35","2271.30"
"SO - 0002292","Distributor","WARE-PUJ1005","27/10/18","8/2/19","3/3/19","12/3/19","USD",23,25,292,20,8,0.05,"2785.86","3979.80"
"SO - 0002293","In-Store","WARE-UHY1004","27/10/18","8/2/19","20/2/19","23/2/19","USD",11,36,255,27,4,0.4,"166.43","241.2"
"SO - 0002294","In-Store","WARE-UHY1004","27/10/18","8/2/19","18/2/19","19/2/19","USD",3,44,231,11,1,0.2,"439.52","1098.80"
"SO - 0002295","In-Store","WARE-XYS1001","27/10/18","8/2/19","19/2/19","21/2/19","USD",12,34,43,18,7,0.15,"1468.91","2331.60"
"SO - 0002296","In-Store","WARE-NBV1002","27/10/18","8/2/19","16/2/19","19/2/19","USD",10,18,81,9,5,0.05,"2406.37","2934.60"
"SO - 0002297","Online","WARE-MKL1006","27/10/18","9/2/19","9/3/19","10/3/19","USD",12,12,332,44,4,0.1,"1377.45","1788.90"
"SO - 0002298","In-Store","WARE-PUJ1005","27/10/18","9/2/19","12/2/19","17/2/19","USD",5,13,293,23,7,0.05,"2583.25","3075.30"
"SO - 0002299","Distributor","WARE-NMK1003","27/10/18","9/2/19","12/2/19","16/2/19","USD",24,45,173,42,2,0.05,"1422.48","2257.90"
"SO - 0002300","In-Store","WARE-PUJ1005","27/10/18","9/2/19","24/2/19","2/3/19","USD",8,44,300,2,8,0.15,"612.05","971.5"
"SO - 0002301","In-Store","WARE-NMK1003","27/10/18","9/2/19","2/3/19","7/3/19","USD",4,24,135,25,1,0.075,"2482.42","3705.10"
"SO - 0002302","Distributor","WARE-MKL1006","27/10/18","9/2/19","8/3/19","12/3/19","USD",25,25,330,23,6,0.075,"110.95","241.2"
"SO - 0002303","Online","WARE-MKL1006","27/10/18","9/2/19","21/2/19","24/2/19","USD",15,31,352,35,4,0.15,"2529.92","3953.00"
"SO - 0002304","In-Store","WARE-NMK1003","27/10/18","10/2/19","3/3/19","8/3/19","USD",10,30,90,13,5,0.075,"337.68","844.2"
"SO - 0002305","Wholesale","WARE-UHY1004","27/10/18","10/2/19","13/2/19","14/2/19","USD",26,39,248,36,3,0.075,"1737.85","2633.10"
"SO - 0002306","Online","WARE-NMK1003","27/10/18","10/2/19","23/2/19","25/2/19","USD",17,15,171,7,1,0.05,"1412.49","1701.80"
"SO - 0002307","Online","WARE-XYS1001","27/10/18","10/2/19","22/2/19","4/3/19","USD",12,17,12,44,4,0.075,"78.73","167.5"
"SO - 0002308","Online","WARE-MKL1006","27/10/18","10/2/19","5/3/19","13/3/19","USD",15,23,349,20,4,0.15,"1236.82","2378.50"
"SO - 0002309","Wholesale","WARE-XYS1001","27/10/18","10/2/19","19/2/19","27/2/19","USD",25,27,14,19,7,0.05,"733.52","1078.70"
"SO - 0002310","Online","WARE-NBV1002","27/10/18","10/2/19","17/2/19","21/2/19","USD",14,17,67,9,1,0.05,"1888.19","2452.20"
"SO - 0002311","Online","WARE-UHY1004","27/10/18","10/2/19","4/3/19","14/3/19","USD",15,25,259,9,5,0.075,"1519.09","1922.90"
"SO - 0002312","In-Store","WARE-UHY1004","27/10/18","10/2/19","10/3/19","15/3/19","USD",2,15,255,42,1,0.4,"3859.07","6224.30"
"SO - 0002313","Wholesale","WARE-PUJ1005","27/10/18","11/2/19","25/2/19","1/3/19","USD",28,10,271,27,4,0.15,"994.28","1876.00"
"SO - 0002314","In-Store","WARE-NMK1003","27/10/18","11/2/19","27/2/19","4/3/19","USD",10,4,190,17,5,0.05,"2774.07","6304.70"
"SO - 0002315","Distributor","WARE-UHY1004","27/10/18","11/2/19","27/2/19","3/3/19","USD",21,17,236,45,4,0.1,"569.23","964.8"
"SO - 0002316","In-Store","WARE-NMK1003","27/10/18","11/2/19","26/2/19","1/3/19","USD",7,43,116,43,2,0.15,"2780.70","3611.30"
"SO - 0002317","In-Store","WARE-PUJ1005","27/10/18","11/2/19","13/2/19","19/2/19","USD",5,31,306,36,3,0.075,"633.15","1005.00"
"SO - 0002318","Distributor","WARE-UHY1004","27/10/18","11/2/19","2/3/19","4/3/19","USD",24,38,225,8,2,0.15,"1201.38","2793.90"
"SO - 0002319","In-Store","WARE-NMK1003","27/10/18","11/2/19","1/3/19","10/3/19","USD",12,34,173,30,3,0.05,"646.68","850.9"
"SO - 0002320","In-Store","WARE-PUJ1005","27/10/18","11/2/19","7/3/19","13/3/19","USD",5,44,272,40,5,0.075,"1913.52","2278.00"
"SO - 0002321","Wholesale","WARE-XYS1001","27/10/18","11/2/19","19/2/19","28/2/19","USD",28,33,38,17,7,0.15,"655.26","1092.10"
"SO - 0002322","Wholesale","WARE-NMK1003","27/10/18","11/2/19","24/2/19","6/3/19","USD",27,33,159,26,4,0.05,"3578.14","6505.70"
"SO - 0002323","Distributor","WARE-NMK1003","27/10/18","12/2/19","15/2/19","16/2/19","USD",24,13,134,7,5,0.05,"495.26","1125.60"
"SO - 0002324","Distributor","WARE-NMK1003","27/10/18","12/2/19","9/3/19","15/3/19","USD",24,25,91,22,8,0.15,"559.58","1165.80"
"SO - 0002325","In-Store","WARE-NMK1003","27/10/18","12/2/19","6/3/19","7/3/19","USD",7,47,97,9,5,0.05,"674.96","978.2"
"SO - 0002326","Online","WARE-XYS1001","27/10/18","12/2/19","21/2/19","28/2/19","USD",19,31,54,4,8,0.075,"1578.25","3035.10"
"SO - 0002327","In-Store","WARE-PUJ1005","27/10/18","12/2/19","9/3/19","10/3/19","USD",11,7,322,31,4,0.075,"167.23","214.4"
"SO - 0002328","Online","WARE-MKL1006","27/10/18","12/2/19","5/3/19","12/3/19","USD",12,44,365,40,3,0.075,"709.13","1125.60"
"SO - 0002329","In-Store","WARE-NMK1003","27/10/18","12/2/19","24/2/19","27/2/19","USD",5,3,153,23,2,0.1,"3284.94","5567.70"
"SO - 0002330","Wholesale","WARE-PUJ1005","27/10/18","12/2/19","10/3/19","15/3/19","USD",28,40,284,10,7,0.075,"70.35","167.5"
"SO - 0002331","In-Store","WARE-XYS1001","27/10/18","12/2/19","9/3/19","14/3/19","USD",10,18,6,30,1,0.2,"1111.66","1822.40"
"SO - 0002332","Wholesale","WARE-PUJ1005","27/10/18","12/2/19","11/3/19","12/3/19","USD",28,6,284,9,2,0.4,"2632.56","5983.10"
"SO - 0002333","Online","WARE-PUJ1005","27/10/18","12/2/19","6/3/19","12/3/19","USD",16,37,271,43,2,0.1,"1135.45","1802.30"
"SO - 0002334","In-Store","WARE-XYS1001","27/10/18","12/2/19","6/3/19","9/3/19","USD",3,36,26,40,7,0.075,"2481.95","3939.60"
"SO - 0002335","Online","WARE-UHY1004","27/10/18","13/2/19","19/2/19","24/2/19","USD",15,50,210,4,1,0.075,"311.28","676.7"
"SO - 0002336","In-Store","WARE-XYS1001","27/10/18","13/2/19","18/2/19","20/2/19","USD",3,20,11,2,7,0.075,"1452.02","3457.20"
"SO - 0002337","In-Store","WARE-NMK1003","27/10/18","14/2/19","6/3/19","10/3/19","USD",9,29,170,6,5,0.15,"4658.91","5681.60"
"SO - 0002338","Distributor","WARE-UHY1004","27/10/18","14/2/19","3/3/19","13/3/19","USD",22,23,248,12,3,0.075,"178.22","254.6"
"SO - 0002339","Wholesale","WARE-UHY1004","27/10/18","14/2/19","5/3/19","13/3/19","USD",25,14,253,2,6,0.05,"2831.89","3879.30"
"SO - 0002340","In-Store","WARE-XYS1001","27/10/18","14/2/19","4/3/19","6/3/19","USD",3,16,47,37,1,0.05,"1776.44","3289.70"
"SO - 0002341","In-Store","WARE-XYS1001","27/10/18","14/2/19","23/2/19","25/2/19","USD",7,38,19,10,7,0.05,"104.79","227.8"
"SO - 0002342","In-Store","WARE-NMK1003","27/10/18","14/2/19","24/2/19","28/2/19","USD",5,13,182,5,3,0.075,"1731.95","3685.00"
"SO - 0002343","In-Store","WARE-UHY1004","27/10/18","14/2/19","14/3/19","15/3/19","USD",9,3,260,19,6,0.05,"1724.58","3832.40"
"SO - 0002344","In-Store","WARE-PUJ1005","27/10/18","14/2/19","6/3/19","10/3/19","USD",12,31,319,18,3,0.1,"181.3","221.1"
"SO - 0002345","In-Store","WARE-UHY1004","27/10/18","14/2/19","10/3/19","18/3/19","USD",3,9,247,37,8,0.05,"1172.97","1922.90"
"SO - 0002346","Online","WARE-NMK1003","27/10/18","14/2/19","9/3/19","18/3/19","USD",20,13,129,34,1,0.05,"453.05","984.9"
"SO - 0002347","Distributor","WARE-NBV1002","27/10/18","15/2/19","5/3/19","8/3/19","USD",22,27,87,41,3,0.05,"776.6","1159.10"
"SO - 0002348","Wholesale","WARE-NMK1003","27/10/18","15/2/19","5/3/19","12/3/19","USD",27,1,93,9,3,0.2,"143.72","261.3"
"SO - 0002349","Online","WARE-PUJ1005","27/10/18","15/2/19","6/3/19","16/3/19","USD",20,38,326,44,8,0.1,"1181.88","1688.40"
"SO - 0002350","In-Store","WARE-PUJ1005","27/10/18","15/2/19","13/3/19","22/3/19","USD",9,23,318,37,6,0.1,"486.42","884.4"
"SO - 0002351","Distributor","WARE-NMK1003","27/10/18","16/2/19","16/3/19","17/3/19","USD",25,11,172,14,6,0.2,"621.89","797.3"
"SO - 0002352","In-Store","WARE-NMK1003","27/10/18","16/2/19","3/3/19","9/3/19","USD",5,17,181,13,1,0.15,"626.45","1139.00"
"SO - 0002353","Online","WARE-UHY1004","27/10/18","16/2/19","5/3/19","11/3/19","USD",19,3,225,37,6,0.075,"1457.92","1822.40"
"SO - 0002354","Distributor","WARE-UHY1004","27/10/18","16/2/19","1/3/19","2/3/19","USD",24,4,220,4,8,0.1,"1344.02","2278.00"
"SO - 0002355","In-Store","WARE-PUJ1005","27/10/18","16/2/19","24/2/19","25/2/19","USD",10,3,285,6,5,0.1,"120.6","167.5"
"SO - 0002356","Wholesale","WARE-NMK1003","27/10/18","16/2/19","5/3/19","11/3/19","USD",28,47,105,41,6,0.15,"512.55","683.4"
"SO - 0002357","Wholesale","WARE-NMK1003","27/10/18","16/2/19","1/3/19","4/3/19","USD",28,3,119,1,8,0.075,"748.66","1011.70"
