"as_of_year","respondent_id","agency_name","agency_abbr","agency_code","loan_type_name","loan_type","property_type_name","property_type","loan_purpose_name","loan_purpose","owner_occupancy_name","owner_occupancy","loan_amount_000s","preapproval_name","preapproval","action_taken_name","action_taken","msamd_name","msamd","state_name","state_abbr","state_code","county_name","county_code","census_tract_number","applicant_ethnicity_name","applicant_ethnicity","co_applicant_ethnicity_name","co_applicant_ethnicity","applicant_race_name_1","applicant_race_1","applicant_race_name_2","applicant_race_2","applicant_race_name_3","applicant_race_3","applicant_race_name_4","applicant_race_4","applicant_race_name_5","applicant_race_5","co_applicant_race_name_1","co_applicant_race_1","co_applicant_race_name_2","co_applicant_race_2","co_applicant_race_name_3","co_applicant_race_3","co_applicant_race_name_4","co_applicant_race_4","co_applicant_race_name_5","co_applicant_race_5","applicant_sex_name","applicant_sex","co_applicant_sex_name","co_applicant_sex","applicant_income_000s","purchaser_type_name","purchaser_type","denial_reason_name_1","denial_reason_1","denial_reason_name_2","denial_reason_2","denial_reason_name_3","denial_reason_3","rate_spread","hoepa_status_name","hoepa_status","lien_status_name","lien_status","edit_status_name","edit_status","sequence_number","population","minority_population","hud_median_family_income","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units","application_date_indicator"
2017,"13303","Federal Deposit Insurance Corporation","FDIC",3,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,287,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,60,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"8111","National Credit Union Administration","NCUA",5,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,218,"Preapproval was requested",1,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Hispanic or Latino",1,"Hispanic or Latino",1,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,116,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"2888798","Federal Reserve System","FRS",2,"VA-guaranteed",3,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,218,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,57,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"58509","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home improvement",2,"Owner-occupied as a principal dwelling",1,73,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,48,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"75-2511480","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,342,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,120,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"7197000003","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,195,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Information not provided by applicant in mail, Internet, or telephone application",3,"Not Hispanic or Latino",2,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Female",2,"Female",2,59,"Freddie Mac (FHLMC)",3,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"47-1853960","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,118,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"Black or African American",3,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,30,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"7197000003","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,152,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,123,"Freddie Mac (FHLMC)",3,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"6178","National Credit Union Administration","NCUA",5,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home improvement",2,"Owner-occupied as a principal dwelling",1,100,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,51,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"6178","National Credit Union Administration","NCUA",5,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home improvement",2,"Owner-occupied as a principal dwelling",1,201,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,90,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"30-0382471","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,186,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,58,"Life insurance company, credit union, mortgage bank, or finance company",7,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"76-0503625","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,130,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,150,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"68251","National Credit Union Administration","NCUA",5,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home improvement",2,"Owner-occupied as a principal dwelling",1,92,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,63,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"542409990","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,274,"Preapproval was requested",1,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,110,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"146672","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,113,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,58,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"1100900005","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,405,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,261,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"146672","Consumer Financial Protection Bureau","CFPB",9,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,219,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,80,"Ginnie Mae (GNMA)",2,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"4239","Federal Deposit Insurance Corporation","FDIC",3,"FSA/RHS-guaranteed",4,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,218,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,65,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"75-2857425","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,218,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,80,"Life insurance company, credit union, mortgage bank, or finance company",7,NA,NA,NA,NA,NA,NA,2.53,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"7197000003","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,211,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,83,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"57-1175755","Department of Housing and Urban Development","HUD",7,"VA-guaranteed",3,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,230,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9504,"Hispanic or Latino",1,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,71,"Life insurance company, credit union, mortgage bank, or finance company",7,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,8201,33.63999939,81400,76.80000305,2154,3184,NA
2017,"23-2769131","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,138,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,60,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"41-1795868","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,87,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Hispanic or Latino",1,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,26,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"75-2695327","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,176,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Hispanic or Latino",1,"Hispanic or Latino",1,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,134,"Loan was not originated or was not sold in calendar year covered by register",0,NA,NA,NA,NA,NA,NA,1.73,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"21122","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,163,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,93,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"36-4327855","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,174,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,82,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"146672","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,414,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,100,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"2888798","Federal Reserve System","FRS",2,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,283,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"American Indian or Alaska Native",1,"White",5,"",NA,"",NA,"",NA,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,127,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"7197000003","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,115,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,34,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"76-0561995","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,314,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Male",1,"No co-applicant",5,135,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"75-2695327","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,140,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Female",2,"Male",1,53,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,2.74,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"26-0402100","Department of Housing and Urban Development","HUD",7,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,167,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,90,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"26-0402100","Department of Housing and Urban Development","HUD",7,"FHA-insured",2,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,231,"Preapproval was not requested",2,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,120,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"4093","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,207,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,107,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"146672","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Refinancing",3,"Owner-occupied as a principal dwelling",1,375,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,184,"Fannie Mae (FNMA)",1,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"4093","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,205,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Asian",2,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,113,"Commercial bank, savings bank or savings association",6,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"146672","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,325,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"",NA,"",NA,"",NA,"",NA,"White",5,"",NA,"",NA,"",NA,"",NA,"Male",1,"Female",2,132,"Freddie Mac (FHLMC)",3,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
2017,"852218","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"One-to-four family dwelling (other than manufactured housing)",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,328,"Not applicable",3,"Loan originated",1,"Austin, Round Rock - TX",12420,"Texas","TX",48,"Bastrop County",21,9503,"Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"",NA,"",NA,"",NA,"",NA,"No co-applicant",8,"",NA,"",NA,"",NA,"",NA,"Female",2,"No co-applicant",5,101,"Freddie Mac (FHLMC)",3,NA,NA,NA,NA,NA,NA,NA,"Not a HOEPA loan",2,"Secured by a first lien",1,NA,NA,NA,14320,39.59999847,81400,97.93000031,3631,5124,NA
