"wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","log_wage"
8.49,12,24,42,"cauc","other","female","services","other","no","yes",2.13888900032326
8.99,12,15,33,"cauc","other","female","services","other","yes","no",2.19611284848353
3.65,11,8,25,"cauc","south","female","services","other","no","yes",1.2947271675944
3.5,11,17,34,"cauc","south","female","services","other","no","yes",1.25276296849537
3.43,12,2,20,"other","south","male","services","other","no","no",1.23256026117785
5.5,12,20,38,"cauc","south","male","services","other","no","yes",1.70474809223843
6.93,12,26,44,"cauc","other","male","services","other","yes","yes",1.93585981320181
3.51,10,37,53,"other","south","female","services","other","no","yes",1.25561603747777
3.75,12,41,59,"cauc","other","female","services","other","no","no",1.32175583998232
4.17,12,27,45,"cauc","other","female","services","other","no","yes",1.42791603581071
9.57,12,5,23,"cauc","other","female","services","other","yes","yes",2.25863320546486
14.67,14,16,36,"other","other","male","services","other","no","yes",2.68580459215489
12.5,14,19,39,"cauc","other","female","services","other","no","yes",2.52572864430826
5.5,12,10,28,"cauc","other","male","services","other","no","yes",1.70474809223843
5.15,13,1,20,"cauc","south","male","services","other","yes","no",1.63899671467564
8,12,43,61,"other","other","female","services","other","yes","yes",2.07944154167984
5.83,13,3,22,"other","other","male","services","other","no","no",1.7630170003624
3.35,12,0,18,"cauc","other","female","services","other","no","no",1.20896034583698
7,12,26,44,"cauc","south","female","services","other","no","yes",1.94591014905531
10,10,25,41,"cauc","other","female","services","other","yes","yes",2.30258509299405
8,12,15,33,"cauc","other","female","services","other","no","yes",2.07944154167984
6.88,14,10,30,"cauc","south","female","services","other","no","no",1.92861865194525
5.55,11,45,62,"cauc","other","female","services","other","yes","no",1.71379792775834
7.5,11,3,20,"other","other","male","services","other","no","no",2.01490302054226
8.93,8,47,61,"hispanic","other","male","services","other","yes","yes",2.18941639488841
9,16,6,28,"other","other","female","services","other","no","yes",2.19722457733622
3.5,10,33,49,"cauc","south","female","services","other","no","no",1.25276296849537
5.77,16,3,25,"cauc","other","male","services","manufacturing","no","no",1.75267208052001
25,14,4,24,"hispanic","other","male","services","other","yes","no",3.2188758248682
6.85,14,34,54,"other","other","male","services","other","yes","yes",1.92424865227413
6.5,11,39,56,"cauc","south","male","services","other","no","yes",1.87180217690159
3.75,12,17,35,"cauc","south","female","services","other","no","yes",1.32175583998232
3.5,9,47,62,"cauc","other","male","services","other","yes","yes",1.25276296849537
4.5,11,2,19,"cauc","other","male","services","other","no","no",1.50407739677627
2.01,13,0,19,"cauc","south","male","services","other","no","no",0.698134722070984
4.17,14,24,44,"cauc","other","female","services","other","no","no",1.42791603581071
13,12,25,43,"other","other","male","services","other","yes","yes",2.56494935746154
3.98,14,6,26,"cauc","other","female","services","other","no","no",1.38128181929635
7.5,12,10,28,"cauc","other","female","services","other","no","no",2.01490302054226
13.12,12,33,51,"other","other","female","services","other","no","yes",2.57413778351594
4,12,12,30,"cauc","other","male","services","other","no","no",1.38629436111989
3.95,12,9,27,"cauc","south","female","services","other","no","yes",1.37371557891303
13,11,18,35,"cauc","south","male","services","other","yes","yes",2.56494935746154
9,12,10,28,"cauc","other","male","services","other","no","yes",2.19722457733622
4.55,8,45,59,"cauc","south","female","services","other","no","no",1.51512723296286
9.5,9,46,61,"cauc","other","female","services","other","yes","yes",2.2512917986065
4.5,7,14,27,"hispanic","south","male","services","other","no","yes",1.50407739677627
8.75,11,36,53,"cauc","other","female","services","other","no","no",2.16905370036952
10,13,34,53,"cauc","other","male","technical","construction","yes","yes",2.30258509299405
18,18,15,39,"cauc","other","male","technical","other","no","yes",2.89037175789616
24.98,17,31,54,"cauc","other","male","technical","manufacturing","no","yes",3.21807550469743
12.05,16,6,28,"cauc","other","female","technical","manufacturing","no","no",2.48906465993666
22,14,15,35,"cauc","south","male","technical","other","no","yes",3.09104245335832
8.75,12,30,48,"cauc","other","male","technical","other","no","yes",2.16905370036952
22.2,18,8,32,"cauc","other","male","technical","other","no","yes",3.10009228887823
17.25,18,5,29,"cauc","other","male","technical","manufacturing","no","yes",2.84781214347737
6,17,3,26,"cauc","other","female","technical","other","yes","no",1.79175946922805
8.06,13,17,36,"cauc","south","male","technical","other","no","yes",2.08691355651854
9.24,16,5,27,"other","other","male","technical","manufacturing","yes","yes",2.22354188565359
12,14,10,30,"cauc","other","female","technical","other","no","yes",2.484906649788
10.61,15,33,54,"cauc","other","female","technical","other","no","no",2.36179695262589
5.71,18,3,27,"cauc","other","male","technical","other","no","yes",1.74221902366792
10,16,0,18,"cauc","other","female","technical","other","no","no",2.30258509299405
17.5,16,13,35,"other","south","male","technical","other","no","yes",2.86220088092947
15,18,12,36,"cauc","other","male","technical","other","no","yes",2.70805020110221
7.78,16,6,28,"cauc","other","female","technical","other","no","yes",2.0515563381903
7.8,17,7,30,"cauc","other","male","technical","other","no","yes",2.05412373369555
10,16,14,36,"cauc","south","male","technical","other","yes","yes",2.30258509299405
24.98,17,5,28,"cauc","other","female","technical","other","no","no",3.21807550469743
10.28,15,10,31,"cauc","south","female","technical","other","no","yes",2.33020026002702
15,18,11,35,"cauc","other","female","technical","other","no","yes",2.70805020110221
12,17,24,47,"cauc","other","female","technical","other","no","yes",2.484906649788
10.58,16,9,31,"cauc","other","male","technical","manufacturing","no","no",2.35896542643015
5.85,18,12,36,"cauc","south","male","technical","other","no","yes",1.76644166124377
11.22,18,19,43,"cauc","other","male","technical","other","no","yes",2.41769790009455
8.56,14,14,34,"cauc","other","female","technical","other","no","yes",2.14710019015365
13.89,16,17,39,"cauc","other","female","technical","manufacturing","no","no",2.63116915676625
5.71,18,7,31,"cauc","south","male","technical","other","no","no",1.74221902366792
15.79,18,7,31,"cauc","other","male","technical","other","no","yes",2.75937682826755
7.5,16,22,44,"cauc","other","female","technical","other","no","yes",2.01490302054226
11.25,12,28,46,"cauc","other","female","technical","other","no","yes",2.42036812865043
6.15,16,16,38,"cauc","other","female","technical","other","no","no",1.81645208181843
13.45,16,16,38,"other","south","male","technical","other","no","no",2.59897910604785
6.25,16,7,29,"cauc","other","female","technical","other","no","yes",1.83258146374831
6.5,12,11,29,"cauc","other","female","technical","other","no","no",1.87180217690159
12,12,11,29,"cauc","other","female","technical","other","no","yes",2.484906649788
8.5,12,16,34,"cauc","other","female","technical","other","no","no",2.14006616349627
8,18,33,57,"cauc","other","male","technical","other","yes","no",2.07944154167984
5.75,12,21,39,"cauc","south","female","technical","other","no","yes",1.74919985480926
15.73,16,4,26,"cauc","other","male","technical","manufacturing","no","yes",2.75556971707019
9.86,15,13,34,"cauc","other","male","technical","other","no","yes",2.28848616861454
13.51,18,14,38,"cauc","other","male","technical","other","yes","yes",2.60343015197211
5.4,16,10,32,"cauc","other","female","technical","other","no","yes",1.68639895357023
6.25,18,14,38,"cauc","south","male","technical","other","no","yes",1.83258146374831
5.5,16,29,51,"cauc","south","male","technical","other","no","yes",1.70474809223843
5,12,4,22,"hispanic","other","male","technical","other","no","no",1.6094379124341
6.25,18,27,51,"other","other","male","technical","other","no","yes",1.83258146374831
5.75,12,3,21,"cauc","other","male","technical","other","no","yes",1.74919985480926
20.5,16,14,36,"cauc","south","male","technical","other","yes","yes",3.02042488614436
5,14,0,20,"cauc","other","male","technical","construction","no","yes",1.6094379124341
7,18,33,57,"cauc","other","male","technical","other","no","yes",1.94591014905531
18,16,38,60,"cauc","south","male","technical","other","no","yes",2.89037175789616
12,18,18,42,"cauc","other","female","technical","other","yes","yes",2.484906649788
20.4,17,3,26,"cauc","other","male","technical","manufacturing","no","no",3.01553490085017
22.2,18,40,64,"cauc","other","female","technical","other","no","no",3.10009228887823
16.42,14,19,39,"cauc","other","male","technical","manufacturing","no","no",2.79850010402428
8.63,14,4,24,"cauc","other","female","technical","other","no","no",2.15524450509534
19.38,16,11,33,"cauc","other","female","technical","other","no","yes",2.96424160646262
14,16,16,38,"cauc","other","female","technical","other","no","yes",2.63905732961526
10,14,22,42,"cauc","other","male","technical","other","no","yes",2.30258509299405
15.95,17,13,36,"cauc","other","female","technical","other","yes","no",2.76945882923085
20,16,28,50,"cauc","south","female","technical","other","yes","yes",2.99573227355399
10,16,10,32,"cauc","other","female","technical","other","no","yes",2.30258509299405
24.98,16,5,27,"cauc","south","female","technical","other","no","no",3.21807550469743
11.25,15,5,26,"cauc","other","male","technical","other","no","no",2.42036812865043
22.83,18,37,61,"cauc","other","female","technical","manufacturing","no","no",3.1280754605417
10.2,17,26,49,"cauc","other","female","technical","other","yes","yes",2.32238772029023
10,16,4,26,"cauc","south","female","technical","other","no","yes",2.30258509299405
14,18,31,55,"cauc","other","female","technical","other","yes","no",2.63905732961526
12.5,17,13,36,"cauc","other","female","technical","other","yes","yes",2.52572864430826
5.79,12,42,60,"cauc","other","female","technical","other","no","yes",1.7561322915849
24.98,17,18,41,"hispanic","other","male","technical","other","no","yes",3.21807550469743
4.35,12,3,21,"cauc","other","female","technical","other","no","yes",1.47017584510059
11.25,17,10,33,"cauc","other","female","technical","other","no","no",2.42036812865043
6.67,16,10,32,"cauc","other","female","technical","other","yes","no",1.89761985992753
8,16,17,39,"hispanic","other","female","technical","other","no","yes",2.07944154167984
18.16,18,7,31,"cauc","other","male","technical","other","no","yes",2.89922137317315
12,16,14,36,"cauc","other","female","technical","other","no","yes",2.484906649788
8.89,16,22,44,"cauc","other","female","technical","other","yes","yes",2.18492704952581
9.5,17,14,37,"cauc","other","female","technical","other","no","yes",2.2512917986065
13.65,16,11,33,"cauc","other","male","technical","other","no","yes",2.61373952163097
12,18,23,47,"cauc","other","male","technical","other","yes","yes",2.484906649788
15,12,39,57,"cauc","other","male","technical","other","yes","yes",2.70805020110221
12.67,16,15,37,"cauc","other","male","technical","other","no","yes",2.53923699433305
7.38,14,15,35,"hispanic","other","female","technical","other","no","no",1.99877363861238
15.56,16,10,32,"cauc","other","male","technical","other","no","no",2.74470351875025
7.45,12,25,43,"cauc","south","female","technical","other","no","no",2.00821403239147
6.25,14,12,32,"cauc","other","female","technical","other","no","yes",1.83258146374831
6.25,16,7,29,"hispanic","south","female","technical","other","no","yes",1.83258146374831
9.37,17,7,30,"cauc","other","male","technical","other","yes","yes",2.23751309625033
22.5,16,17,39,"cauc","other","male","technical","manufacturing","no","yes",3.11351530921037
7.5,16,10,32,"cauc","other","male","technical","other","yes","yes",2.01490302054226
7,17,2,25,"cauc","south","male","technical","other","no","yes",1.94591014905531
5.75,9,34,49,"other","south","female","technical","other","yes","yes",1.74919985480926
7.67,15,11,32,"cauc","other","female","technical","other","no","yes",2.03731661537916
12.5,15,10,31,"cauc","other","male","technical","other","no","no",2.52572864430826
16,12,12,30,"cauc","south","male","technical","other","no","yes",2.77258872223978
11.79,16,6,28,"cauc","other","female","technical","other","yes","no",2.46725171454928
11.36,18,5,29,"cauc","other","male","technical","other","no","no",2.43009841329301
6.1,12,33,51,"other","other","female","technical","other","no","yes",1.80828877117927
23.25,17,25,48,"other","other","female","technical","other","yes","yes",3.14630513203337
19.88,12,13,31,"cauc","south","male","technical","other","yes","yes",2.98971420122843
15.38,16,33,55,"cauc","other","male","technical","manufacturing","no","yes",2.7330679640775
