"Marital.status","Application.order","Course","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"Married",1,9003,1,"Secondary education",168,1,41,"Unskilled worker","Intermediate Level Technicians and Professions",153.9,0,0,1,0,1,0,34,0,0,6,7,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,9500,1,"Secondary education",140,37,37,"Unskilled worker","Other",132.8,0,0,0,1,1,0,35,0,0,7,10,4,12.6,0,0,7,9,5,12.38,0,12.4,0.5,1.79,"Dropout"
"Single",1,9147,1,"Secondary education",123,1,19,"Intermediate Level Technicians and Professions","Other",122,0,0,0,1,1,0,19,0,0,5,7,3,12.3333333333333,0,0,5,5,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9254,1,"Secondary education",130,1,19,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130,0,0,0,1,0,1,19,0,0,6,11,4,12,0,0,6,14,3,11,0,10.8,1.4,1.74,"Dropout"
"Single",1,9254,1,"Secondary education",137,34,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",137.7,1,0,1,0,0,0,19,0,0,6,14,1,10,0,0,6,13,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9130,1,"Secondary education",144,3,1,"Other","Intermediate Level Technicians and Professions",137.7,0,0,0,0,0,0,23,0,0,5,9,0,0,3,1,5,10,1,12,3,10.8,1.4,1.74,"Dropout"
"Single",1,9130,1,"Secondary education",120,1,19,"Unskilled worker","Unskilled worker",120,1,0,0,1,0,0,21,0,0,6,14,5,11.5,1,0,6,13,5,11,1,15.5,2.8,-4.06,"Dropout"
"Single",2,9853,1,"Secondary education",145,38,19,"Administrative staff","Unskilled worker",127.9,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9773,1,"Secondary education",140,34,37,"Other","Other",102.5,0,0,0,1,0,0,26,0,0,6,8,4,11.75,0,0,6,12,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9254,1,"Secondary education dropout",133.1,19,1,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",97,0,0,1,0,1,0,36,0,0,5,10,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,171,1,"Secondary education",128,1,1,"Administrative staff","Other",134.7,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9070,1,"Secondary education",139.3,38,38,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117.5,0,0,0,1,1,0,28,0,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,9119,1,"Secondary education",136,1,19,"Intermediate Level Technicians and Professions","Personal Services, Security and Safety Workers and Sellers",133.6,1,0,0,1,1,0,20,0,4,9,12,9,13.4545454545455,0,2,7,9,6,13.875,0,11.1,0.6,2.02,"Dropout"
"Single",1,171,1,"Secondary education",116,38,1,"Personal Services, Security and Safety Workers and Sellers","Other",111.1,0,0,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single",5,9070,1,"Secondary education",117,19,37,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131,1,0,1,0,1,0,21,0,0,6,6,1,14,0,0,6,7,0,0,7,9.4,-0.8,-3.12,"Dropout"
"Single",1,9238,1,"Secondary education",141,1,1,"Personal Services, Security and Safety Workers and Sellers","Unskilled worker",125,0,0,0,1,1,0,22,0,0,6,6,0,0,0,0,6,7,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9500,1,"Secondary education",133.1,38,19,"Unskilled worker","Unskilled worker",128,1,0,0,0,1,0,32,0,0,7,0,0,0,0,0,8,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9130,1,"Secondary education",120,2,3,"Intermediate Level Technicians and Professions","Other",120,1,0,0,0,1,0,22,0,0,6,0,0,0,0,0,4,6,0,0,2,10.8,1.4,1.74,"Dropout"
"Single",6,9119,1,"Secondary education",129,37,13,"Administrative staff","Other",117.1,1,0,0,1,1,0,19,0,0,5,10,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,171,1,"Secondary education",131,19,19,"Unskilled worker","Unskilled worker",134.9,1,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9147,1,"Some higher education",130,2,37,"Other","Other",130,0,0,1,0,1,0,25,1,0,5,6,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9119,1,"Secondary education",133.1,1,3,"Personal Services, Security and Safety Workers and Sellers","Other",100,0,0,1,1,1,0,21,1,0,5,5,0,0,0,0,6,8,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9254,1,"Secondary education",118,11,34,"Personal Services, Security and Safety Workers and Sellers","Other",122.2,1,0,0,1,0,0,22,0,0,6,10,4,10.5,0,0,6,14,1,11,0,7.6,2.6,0.32,"Dropout"
"Single",1,8014,0,"Secondary education dropout",133.1,37,37,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",135.5,0,0,0,1,0,0,58,0,0,6,6,0,0,0,0,6,6,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9130,1,"Secondary education",114,38,38,"Unskilled worker","Other",120,0,0,0,1,0,0,24,0,0,6,9,6,12.5714285714286,0,0,6,10,5,12.8333333333333,0,11.1,0.6,2.02,"Dropout"
"Single",4,9853,1,"Secondary education",143,37,37,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",127.3,1,0,0,1,0,0,18,0,0,6,7,5,11.8,0,0,6,7,5,11.4,0,10.8,1.4,1.74,"Dropout"
"Single",1,9147,1,"Secondary education",133.1,41,1,"Intermediate Level Technicians and Professions","Other",100,0,0,1,0,1,0,26,1,6,7,7,6,13,0,2,6,6,2,14,0,11.1,0.6,2.02,"Dropout"
"Single",1,9003,1,"Secondary education",170,1,4,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",144.1,1,0,1,0,1,0,26,0,0,6,8,0,0,0,0,6,10,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,171,1,"Secondary education",114,3,29,"Intermediate Level Technicians and Professions","Personal Services, Security and Safety Workers and Sellers",111.9,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",3,9119,1,"Secondary education",138,1,19,"Administrative staff","Intermediate Level Technicians and Professions",125.4,1,0,0,1,1,1,18,0,0,5,9,4,12.25,0,0,5,9,3,12.3333333333333,0,8.9,1.4,3.51,"Dropout"
"Single",1,9003,1,"Some higher education",140,37,37,"Unskilled worker","Other",140,0,0,0,1,1,0,20,0,0,6,12,3,11.5,0,0,6,12,3,13.6666666666667,0,12.4,0.5,1.79,"Dropout"
"Single",1,9130,1,"Secondary education",132,2,1,"Administrative staff","Other",127.8,0,0,0,1,1,0,18,0,0,6,9,6,12,0,0,6,10,5,12.1666666666667,0,11.1,0.6,2.02,"Dropout"
"Single",1,171,1,"Secondary education",132,1,1,"Administrative staff","Other",119.4,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",2,9147,1,"Secondary education",120,1,37,"Administrative staff","Unskilled worker",113.4,1,0,0,1,1,1,19,0,0,5,5,0,0,0,0,5,5,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9147,1,"Secondary education",119,37,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",112,1,0,0,0,1,0,20,0,0,5,5,0,0,0,0,5,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9670,1,"Secondary education",120,38,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",140,0,0,0,1,1,0,24,0,0,6,15,4,10.5,0,0,6,16,4,12.5,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9119,1,"Secondary education",140,1,19,"Administrative staff","Other",150,0,0,0,1,1,0,23,0,0,5,7,2,13,0,0,5,11,1,10,0,8.9,1.4,3.51,"Dropout"
"Single",2,9119,1,"Secondary education",120,10,12,"Unskilled worker","Unskilled worker",120.4,1,0,0,1,1,0,20,0,0,5,6,3,11,0,0,5,6,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9773,1,"Secondary education",117,37,37,"Other","Other",120.5,1,0,0,1,1,0,19,0,0,6,12,0,0,1,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9991,0,"Secondary education",133,37,37,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",139.2,1,0,1,1,1,0,33,0,0,5,11,2,12.5,0,0,5,9,2,11.5,1,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Some higher education",150,1,1,"Unskilled worker","Other",150,1,0,0,1,1,1,22,0,1,7,11,5,12.1666666666667,0,4,8,14,5,14.8,0,8.9,1.4,3.51,"Dropout"
"Single",1,9500,1,"Secondary education dropout",133.1,1,3,"Other","Other",100,0,0,1,1,1,0,24,0,0,7,21,0,0,3,0,7,7,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9670,1,"Secondary education",126,1,1,"Other","Other",119,1,0,1,1,1,0,20,0,0,6,10,1,12,1,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",5,9773,1,"Secondary education",122,38,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",123.1,1,0,0,0,0,0,19,0,0,6,12,3,11,0,0,6,12,3,12,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9254,1,"Secondary education",127,1,1,"Administrative staff","Other",126.7,1,0,0,0,1,0,22,0,0,1,1,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,9500,1,"Secondary education",131,19,37,"Unskilled worker","Unskilled worker",123.8,1,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9500,1,"Post-graduate studies",140,19,1,"Administrative staff","Other",140,1,0,0,0,0,0,39,0,0,7,0,0,0,0,0,8,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,9147,1,"Secondary education dropout",133.1,1,1,"Unskilled worker","Other",140,1,0,1,0,1,0,24,0,0,5,5,0,0,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Secondary education",130,19,1,"Unskilled worker","Other",101.3,1,0,0,1,1,0,20,0,0,6,12,4,12.8,0,0,6,17,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,9773,1,"Secondary education",112,1,1,"Personal Services, Security and Safety Workers and Sellers","Other",111.7,0,0,1,0,1,0,19,0,0,6,6,6,12.5,0,0,6,10,4,12.6,0,NA,2.8,-4.06,"Dropout"
"Single",1,9500,1,"Secondary education",140,3,3,"Other","Unskilled worker",140,1,0,1,0,0,0,23,1,0,8,11,7,11.3285714285714,0,0,8,11,7,11.3285714285714,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9500,1,"Secondary education",130,37,19,"Unskilled worker","Other",106.2,1,0,0,1,0,0,27,0,0,7,14,0,0,0,0,7,14,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",5,9853,1,"Secondary education",121,38,19,"Other","Skilled Workers in Industry, Construction and Craftsmen",117.5,1,0,1,0,0,0,20,0,0,6,14,2,12,0,0,6,14,3,11.6666666666667,0,10.8,1.4,1.74,"Dropout"
"Married",1,9119,1,"Higher education",120,37,37,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",122.5,0,0,0,0,0,0,32,0,0,5,6,0,0,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
"Married",1,9853,1,"Secondary education dropout",133.1,37,37,"Other","Other",103,0,0,0,1,0,0,41,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9130,1,"Higher education",133.1,42,1,"Administrative staff","Unskilled worker",100,0,0,0,1,1,0,35,1,0,7,8,0,0,1,0,6,9,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,8014,0,"Secondary education",133.1,34,34,"Other","Other",100,1,0,0,1,0,0,27,0,0,6,11,4,12.25,0,0,6,16,3,12,0,7.6,2.6,0.32,"Dropout"
"Married",1,9991,0,"Secondary education dropout",133.1,34,34,"Other","Other",118.4,0,0,0,0,0,0,39,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9130,1,"Secondary education",133.1,37,37,"Unskilled worker","Other",100,0,0,0,1,0,0,37,1,0,6,0,0,0,0,0,6,0,0,0,0,13.9,-0.3,0.79,"Dropout"
"Legally separated",1,9991,0,"Secondary education dropout",130,37,37,"Other","Other",119,1,0,0,0,1,0,55,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Facto union",1,9003,1,"Secondary education",133.1,37,37,"Unskilled worker","Skilled Workers in Industry, Construction and Craftsmen",110,0,0,1,0,0,0,28,0,0,6,17,5,13,0,0,6,11,4,11.75,0,13.9,-0.3,0.79,"Dropout"
"Married",2,9670,1,"Secondary education dropout",133.1,37,37,"Unskilled worker","Unskilled worker",135.6,0,0,0,1,0,0,46,0,0,6,10,5,11.4,0,0,6,9,4,13.75,0,12.4,0.5,1.79,"Dropout"
"Single",3,9085,1,"Secondary education",131,37,19,"Unskilled worker","Other",136.3,1,0,1,0,0,0,18,0,0,5,7,3,13,0,0,5,8,3,12,0,7.6,2.6,0.32,"Dropout"
"Single",1,9991,0,"Secondary education",120,19,37,"Intermediate Level Technicians and Professions","Unskilled worker",100,0,0,0,1,0,0,34,0,0,5,9,0,0,0,0,5,10,1,11,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9853,1,"Secondary education",119,37,38,"Unskilled worker","Unskilled worker",125,1,0,0,1,0,1,21,0,0,6,9,5,12,0,0,6,8,5,11.2,0,10.8,1.4,1.74,"Dropout"
"Single",1,9003,1,"Some higher education",120,1,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",120,0,0,0,1,1,0,23,0,1,6,6,1,11,0,0,6,8,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",3,171,1,"Secondary education",129,38,37,"Unskilled worker","Intermediate Level Technicians and Professions",127.3,1,0,1,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9238,1,"Secondary education",136,37,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",140.9,1,0,0,1,1,0,18,0,0,6,10,4,12,0,0,6,7,5,11.8,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9773,1,"Secondary education",117,38,38,"Unskilled worker","Unskilled worker",111.1,0,0,1,1,1,0,19,0,0,6,6,4,11.25,0,0,6,6,3,11.3333333333333,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9003,1,"Secondary education dropout",133.1,1,19,"Unskilled worker","Other",120,0,0,1,0,1,0,27,0,0,6,11,2,11.5,0,0,6,7,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9147,1,"Secondary education",160,1,38,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",141.5,1,0,0,1,1,0,18,0,0,5,10,3,10.6666666666667,1,0,5,11,2,12.5,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,8014,0,"Secondary education dropout",133.1,34,34,"Other","Other",100,1,0,0,0,0,0,37,0,0,5,9,0,0,0,0,5,5,0,0,5,9.4,-0.8,-3.12,"Dropout"
"Married",1,9085,1,"Secondary education dropout",133.1,19,19,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",101,1,0,0,1,0,0,26,0,0,6,21,3,12.6666666666667,0,0,6,15,2,11,0,15.5,2.8,-4.06,"Dropout"
"Single",1,8014,0,"Secondary education",120,37,1,"Other","Other",95,1,0,0,1,0,0,24,0,0,6,8,5,11.4,0,0,6,8,5,11.8,0,15.5,2.8,-4.06,"Dropout"
"Single",2,9773,1,"Secondary education",130,19,1,"Unskilled worker","Unskilled worker",126.9,1,0,0,1,0,1,19,1,0,6,8,6,13.1666666666667,0,0,6,6,6,13,0,11.1,0.6,2.02,"Dropout"
"Married",1,9556,1,"Secondary education",120,37,37,"Unskilled worker","Other",150,0,0,0,0,0,0,50,0,0,7,18,6,10.25,0,0,7,14,4,11.25,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9853,1,"Secondary education",120,1,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",111.3,0,0,0,1,0,0,24,0,9,13,17,10,11.5,0,7,13,18,9,10.4444444444444,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9991,0,"Secondary education",110,37,37,"Other","Other",150,0,0,0,0,0,0,48,0,0,5,5,1,10,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9991,0,"Some higher education",130,37,37,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130,1,0,0,1,1,0,32,0,2,6,9,4,12.5,0,3,7,7,4,11,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9670,1,"Secondary education",141,19,3,"Administrative staff","Other",137.9,1,0,0,0,1,0,20,0,0,5,6,3,12,0,0,5,5,4,12.75,0,7.6,2.6,0.32,"Dropout"
"Single",1,9119,1,"Secondary education",120,37,38,"Unskilled worker","Other",100,0,0,1,1,1,0,24,0,0,5,11,0,0,0,0,5,5,0,0,0,16.2,0.3,-0.92,"Dropout"
"Married",1,9773,1,"Secondary education dropout",133.1,19,19,"Unskilled worker","Other",131,0,0,1,0,1,0,42,0,0,4,5,0,0,0,0,4,4,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9670,1,"Secondary education dropout",133.1,37,37,"Personal Services, Security and Safety Workers and Sellers","Intermediate Level Technicians and Professions",110,0,0,1,1,1,0,26,0,0,5,5,0,0,0,0,5,5,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",4,9254,1,"Secondary education",124,3,3,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",126.1,1,0,0,1,0,0,20,0,0,5,5,5,11.4,0,0,6,11,1,11,0,10.8,1.4,1.74,"Dropout"
"Single",2,171,1,"Secondary education",120,3,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",119.7,1,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",2,9853,1,"Secondary education",131,1,1,"Other","Unskilled worker",121.9,1,0,0,1,0,0,20,0,0,6,6,6,13.5,0,0,6,6,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9070,1,"Some higher education",100,1,38,"Administrative staff","Other",104.8,0,0,1,0,0,0,22,0,2,7,9,5,11.6,0,5,9,9,5,10,0,12.4,0.5,1.79,"Dropout"
"Single",1,9130,1,"Some higher education",130,3,1,"Administrative staff","Other",130,1,0,0,0,0,0,21,0,1,6,12,5,13.2857142857143,0,0,6,10,4,12,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9556,1,"Secondary education",140,3,3,"Other","Skilled Workers in Industry, Construction and Craftsmen",131.6,1,0,0,1,1,0,19,0,0,7,0,0,0,0,0,7,0,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9500,1,"Secondary education",133.1,1,37,"Unskilled worker","Unskilled worker",100,0,0,0,1,1,0,28,0,0,7,11,3,11.9166666666667,1,0,7,17,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",2,9670,1,"Secondary education",124,19,1,"Unskilled worker","Other",117.7,1,0,1,1,1,0,20,0,0,5,5,4,12,0,0,5,6,5,11.6,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9670,1,"Secondary education",124,2,2,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",124.7,1,0,0,1,1,0,21,0,0,5,7,3,11,0,0,5,5,4,12.75,0,7.6,2.6,0.32,"Dropout"
"Single",4,171,1,"Secondary education",136,37,37,"Unskilled worker","Unskilled worker",123.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9119,1,"Secondary education",140.8,34,34,"Other","Other",134,0,0,0,1,1,0,24,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",3,9070,1,"Secondary education",142,1,37,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",130.8,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Secondary education",130,34,1,"Other","Other",128.2,0,0,0,1,1,0,25,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9500,1,"Higher education",130,37,37,"Other","Other",130,1,0,0,1,1,0,30,0,0,8,8,0,0,8,0,8,8,0,0,8,9.4,-0.8,-3.12,"Dropout"
"Single",6,9773,1,"Secondary education",131,34,34,"Other","Other",129.3,0,0,0,1,1,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",5,171,1,"Secondary education",160,1,1,"Administrative staff","Other",139.7,0,0,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9556,1,"Secondary education dropout",133.1,19,1,"Other","Other",105,0,0,0,1,1,0,25,0,0,7,14,4,12.95,1,0,7,11,4,13.125,1,15.5,2.8,-4.06,"Dropout"
"Single",1,9500,1,"Secondary education",133.1,3,1,"Intermediate Level Technicians and Professions","Other",100,1,0,0,0,0,0,33,1,1,7,10,5,12.16,0,0,6,7,5,11.34,0,12.4,0.5,1.79,"Dropout"
"Single",1,9119,1,"Secondary education",160,38,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",129,0,0,0,1,1,0,24,0,0,5,9,0,0,0,0,5,8,2,14.5,2,7.6,2.6,0.32,"Dropout"
"Married",1,9991,0,"Secondary education",110,37,37,"Personal Services, Security and Safety Workers and Sellers","Other",120,1,0,0,1,0,0,38,0,0,5,11,3,11.3333333333333,0,0,5,9,4,12,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9130,1,"Secondary education",136,19,19,"Other","Other",133.9,1,0,0,0,1,0,20,0,0,5,7,4,13,0,0,5,11,3,12,2,10.8,1.4,1.74,"Dropout"
"Married",1,9119,1,"Secondary education",120,37,38,"Unskilled worker","Other",145.4,0,0,1,1,1,0,40,0,0,5,11,3,10.6666666666667,0,0,5,5,2,12.5,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9147,1,"Secondary education",118,1,1,"Unskilled worker","Unskilled worker",111,0,0,0,0,1,0,21,0,0,5,7,2,11,0,0,5,9,3,11.4285714285714,0,10.8,1.4,1.74,"Dropout"
"Married",1,9070,1,"Secondary education dropout",133.1,37,37,"Unskilled worker","Other",126.3,0,0,0,0,1,0,38,0,0,6,6,0,0,0,0,6,8,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9130,1,"Secondary education",146,3,3,"Personal Services, Security and Safety Workers and Sellers","Other",137.8,0,0,0,1,1,0,18,0,0,6,11,5,13.6,0,0,6,13,3,12.6666666666667,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9773,1,"Secondary education",127,1,1,"Unskilled worker","Other",110,0,0,1,0,1,0,19,0,0,6,10,3,11.6666666666667,0,0,6,11,2,10,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9670,1,"Secondary education",133.1,37,37,"Other","Other",97.4,0,0,1,0,1,0,44,0,0,6,9,1,14,0,0,6,6,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Some higher education",130,1,1,"Administrative staff","Other",130,1,1,0,1,1,0,26,0,2,6,20,4,12.5,0,1,6,16,3,10,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9130,1,"Secondary education",156,19,1,"Unskilled worker","Other",156,0,0,1,0,1,0,24,0,0,6,11,5,11.8333333333333,0,0,6,11,4,11.5,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9070,1,"Secondary education",108,38,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",105.2,1,0,0,1,1,0,25,0,11,17,18,13,11.5384615384615,0,10,15,15,10,12.4,0,12.7,3.7,-1.7,"Dropout"
"Single",5,9119,1,"Secondary education",123,3,1,"Other","Unskilled worker",116,1,0,1,0,1,0,20,0,0,5,5,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,171,1,"Secondary education",140,1,1,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",146.3,1,0,0,1,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9147,1,"Secondary education",140,19,38,"Unskilled worker","Unskilled worker",129.2,1,0,0,1,0,0,26,0,0,5,6,0,0,0,0,5,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9500,1,"Higher education",140,3,19,"Other","Other",140,0,0,0,1,1,0,27,0,0,7,0,0,0,0,0,8,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Married",1,9991,0,"Secondary education",140,37,12,"Unskilled worker","Unskilled worker",150,0,0,1,1,1,0,35,0,0,5,6,5,10.8,0,0,5,7,5,12,2,9.4,-0.8,-3.12,"Dropout"
"Married",1,9238,1,"Secondary education dropout",133.1,37,37,"Unskilled worker","Other",103.5,0,0,0,1,1,0,42,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9070,1,"Secondary education",116,3,3,"Other","Other",108.7,1,0,0,1,1,0,23,0,0,6,9,4,11.25,1,0,6,10,0,0,4,7.6,2.6,0.32,"Dropout"
"Single",1,9991,0,"Secondary education",150,3,5,"Other","Other",135.8,0,0,1,1,1,0,29,0,1,5,9,3,11,0,0,5,11,2,13.5,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Secondary education",137,1,1,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",134.6,1,0,0,1,1,0,22,0,0,6,16,0,0,0,0,6,7,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",3,9085,1,"Secondary education",126,38,1,"Unskilled worker","Unskilled worker",132,1,0,0,1,0,1,18,0,0,5,8,3,15,2,0,5,9,3,11.6666666666667,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9147,1,"Secondary education dropout",133.1,19,19,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",112.1,0,0,1,0,1,0,38,0,0,5,5,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9991,0,"Higher education",130,3,1,"Other","Unskilled worker",130,0,0,0,1,1,0,33,0,0,5,5,0,0,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
