id,water_bill,barrel,barrel_num,yard_size,home_garden,attitude_env,temperature
482,269.57,No barrel,0,37338,Home garden,6,71.01152542
483,245.82,No barrel,0,27251,No home garden,6,69.24508475
484,170.21,Barrel,1,24893,No home garden,6,67.47864407
485,267.53,No barrel,0,19375,No home garden,2,77.88101695
486,256.15,Barrel,1,28103,No home garden,4,99.86338983
487,212.33,No barrel,0,15588,Home garden,8,80.43254237
488,202.83,Barrel,1,25928,No home garden,5,73.56305085
489,250.38,No barrel,0,31002,No home garden,4,58.25389831
490,179.96,Barrel,1,8360,No home garden,5,78.07728814
491,182.15,Barrel,1,20315,No home garden,7,69.24508475
492,189.84,Barrel,1,21202,Home garden,10,84.94677966
493,179.33,Barrel,1,17548,No home garden,6,78.66610169
