"locality","type_of_property","subtype_of_property","price","type_of_sale","number_of_rooms","house_area","fully_equipped_kitchen","furnished","open_fire","terrace","terrace_area","garden","garden_area","surface_of_the_land","surface_of_the_plot_of_land","number_of_facades","swimming_pool","state_of_the_building","construction_year"
5300,"apartment","loft","275000","for sale",0,"None",0,"None",0,0,"None",0,"None",NA,"None","4",0,"good","None"
9140,"house","house","105000","for sale",0,"60",0,"None",0,0,"None",1,"None",300,"None","2",0,"to renovate","None"
6800,"apartment","apartment","280000","for sale",3,"139",0,"None",0,1,"14",1,"None",NA,"None","None",0,"None","2015"
3550,"house","house","450000","for sale",3,"231",0,"None",0,1,"30",1,"2480",4900,"None","None",0,"good","1965"
8430,"apartment","flat studio","89000","for sale",0,"28",0,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1978"
1000,"apartment","apartment","895000","for sale",3,"240",1,"None",0,1,"5",0,"None",NA,"None","None",0,"just renovated","1950"
1140,"apartment","apartment","235000","for sale",2,"93",1,"None",0,1,"None",0,"None",NA,"None","None",0,"to renovate","1978"
1332,"apartment","apartment","295000","for sale",1,"63",1,"None",0,1,"5",0,"None",NA,"None","4",0,"None","2014"
3700,"apartment","apartment","201000","for sale",2,"74",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
4520,"house","exceptional property","409000","for sale",3,"220",0,"None",0,0,"None",0,"None",1090,"None","3",0,"None","2020"
8530,"apartment","apartment","170563","for sale",1,"63",0,"None",0,1,"8",0,"None",NA,"None","None",0,"as new","None"
6141,"house","villa","176000","for sale",3,"130",1,"None",0,1,"29",1,"None",0,"None","2",0,"None","None"
1430,"house","apartment block","720000","for sale",5,"305",0,"None",0,1,"100",0,"None",200,"None","3",0,"as new","2020"
2800,"apartment","penthouse","849000","for sale",3,"186",0,"None",0,1,"48",0,"None",NA,"None","3",0,"None","None"
9220,"apartment","apartment","175000","for sale",1,"65",1,"None",0,1,"12",0,"None",NA,"None","2",0,"None","2020"
7700,"house","house","129000","for sale",3,"210",1,"None",0,0,"None",0,"None",143,"None","3",0,"good","None"
8600,"house","house","249000","for sale",3,"105",1,"None",0,0,"None",1,"253",328,"None","2",0,"None","None"
8552,"house","house","249830","for sale",3,"153",1,"None",0,1,"22",1,"252",203,"None","3",0,"None","None"
2170,"apartment","apartment","255000","for sale",2,"95",1,"None",0,1,"9",0,"None",NA,"None","3",0,"as new","2019"
8210,"house","house","491000","for sale",4,"None",1,"None",0,0,"None",1,"None",900,"None","4",0,"good","None"
9470,"apartment","duplex","162000","for sale",2,"100",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1959"
1000,"apartment","apartment","303600","for sale",1,"75",1,"None",0,1,"5",0,"None",NA,"None","None",0,"as new","2019"
4920,"apartment","apartment","199000","for sale",3,"146",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
6150,"house","villa","295000","for sale",3,"165",1,"None",0,1,"None",1,"None",4150,"None","4",0,"good","1970"
4880,"house","house","220000","for sale",6,"240",0,"None",0,1,"None",0,"None",235,"None","3",0,"to be done up","None"
4141,"house","town house","279000","for sale",3,"245",1,"None",0,1,"15",1,"500",973,"None","4",0,"to be done up","1979"
8400,"apartment","duplex","155000","for sale",2,"101",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
1570,"house","house","295000","for sale",3,"170",1,"None",0,0,"None",1,"None",956,"None","4",0,"good","1900"
3020,"apartment","apartment","339000","for sale",3,"130",1,"None",0,1,"10",0,"None",NA,"None","None",0,"as new","2010"
7090,"apartment","apartment","135000","for sale",1,"67",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1900"
8820,"house","house","359000","for sale",4,"196",0,"None",0,0,"None",0,"None",284,"None","3",0,"None","2020"
3150,"house","house","423000","for sale",3,"209",1,"None",0,1,"None",1,"1465",1465,"None","4",0,"good","1984"
8540,"apartment","apartment","255000","for sale",2,"124",1,"None",0,0,"None",0,"None",NA,"None","4",0,"as new","2019"
2620,"house","house","350000","for sale",3,"135",1,"None",0,1,"None",1,"190",255,"None","2",0,"as new","1962"
8380,"apartment","loft","310000","for sale",2,"170",1,"None",0,0,"None",0,"None",NA,"None","2",0,"just renovated","None"
8610,"house","house","129000","for sale",4,"None",1,"None",0,0,"None",0,"None",130,"None","2",0,"to renovate","None"
7380,"house","house","262880","for sale",4,"429",0,"None",0,0,"None",0,"None",1630,"None","2",0,"None","None"
1730,"apartment","apartment","265000","for sale",2,"70",1,"None",0,1,"17",0,"None",NA,"None","None",0,"as new","2020"
8380,"apartment","apartment","290000","for sale",2,"80",1,"None",0,1,"9",0,"None",NA,"None","None",0,"as new","2017"
1500,"apartment","apartment","348263","for sale",2,"105",1,"None",0,1,"43",0,"None",NA,"None","None",0,"None","2019"
2600,"house","house","525000","for sale",3,"240",0,"None",0,0,"None",1,"25",107,"None","2",0,"good","None"
7321,"house","house","80000","for sale",3,"115",1,"None",0,0,"None",0,"None",172,"None","2",0,"None","None"
6870,"house","house","195000","for sale",6,"291",1,"None",0,0,"None",0,"None",364,"None","3",0,"to be done up","1914"
2910,"house","chalet","139000","for sale",2,"77",0,"None",0,0,"None",0,"None",1200,"None","4",0,"None","None"
4260,"house","mixed use building","350000","for sale",5,"250",1,"None",0,1,"25",1,"400",637,"None","4",0,"good","None"
9100,"house","apartment block","219000","for sale",2,"92",0,"None",0,1,"None",0,"None",0,"None","None",0,"as new","None"
2018,"house","house","475000","for sale",3,"136",0,"None",0,1,"None",0,"None",63,"None","2",0,"None","None"
9060,"house","mixed use building","275000","for sale",2,"187",1,"None",1,1,"None",0,"None",0,"None","3",0,"good","None"
1140,"apartment","apartment","190000","for sale",2,"80",1,"None",0,1,"16",0,"None",NA,"None","1",0,"good","None"
3010,"apartment","apartment","390000","for sale",2,"125",0,"None",0,1,"None",0,"None",NA,"None","2",0,"good","2009"
8400,"apartment","apartment","450000","for sale",2,"112",1,"None",0,1,"None",0,"None",NA,"None","None",0,"None","2020"
4000,"apartment","apartment","240000","for sale",3,"None",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
3770,"house","apartment block","395000","for sale",5,"140",1,"None",0,0,"None",0,"None",1355,"None","3",0,"good","1996"
8620,"apartment","apartment","210000","for sale",1,"38",0,"None",0,1,"None",1,"None",NA,"None","None",0,"as new","2000"
7700,"house","house","129000","for sale",2,"120",0,"None",0,0,"None",0,"None",120,"None","2",0,"to renovate","None"
1785,"apartment","apartment","232800","for sale",1,"76",1,"None",0,0,"None",1,"None",NA,"None","2",0,"good","None"
8930,"house","house","159000","for sale",3,"219",1,"None",0,1,"15",0,"None",275,"None","2",0,"good","1953"
2550,"house","mixed use building","750000","for sale",4,"225",1,"None",0,1,"100",0,"None",2235,"None","4",1,"good","1961"
2243,"house","house","379000","for sale",2,"96",1,"None",0,1,"29",1,"None",614,"None","4",0,"good","1989"
9630,"house","villa","398000","for sale",3,"None",1,"None",0,1,"None",0,"None",1864,"None","4",0,"None","None"
1090,"apartment","apartment","190000","for sale",2,"80",1,"None",0,1,"11",0,"None",NA,"None","None",0,"just renovated","None"
4122,"house","bungalow","285000","for sale",3,"115",1,"None",0,1,"None",0,"None",1100,"None","4",0,"good","1968"
3960,"apartment","apartment","226700","for sale",2,"None",0,"None",0,0,"None",0,"None",NA,"None","4",0,"as new","None"
8800,"house","house","220000","for sale",3,"138",1,"None",0,0,"None",1,"247",327,"None","2",0,"just renovated","None"
2360,"house","villa","799000","for sale",3,"442",0,"None",0,1,"None",0,"None",2625,"None","4",1,"None","1991"
2880,"house","house","245000","for sale",3,"127",1,"None",0,1,"49",0,"None",166,"None","3",0,"good","1800"
8830,"house","house","278575","for sale",3,"163",1,"None",0,1,"None",0,"None",165,"None","2",0,"None","2019"
1310,"apartment","apartment","295000","for sale",1,"61",1,"None",0,1,"3",0,"None",NA,"None","2",0,"as new","None"
9000,"house","mansion","595000","for sale",4,"150",0,"None",0,1,"None",0,"None",97,"None","2",0,"as new","1932"
7860,"house","house","120000","for sale",3,"90",1,"None",0,0,"None",0,"None",179,"None","2",0,"good","None"
8370,"apartment","apartment","205900","for sale",2,"71",1,"None",0,1,"8",0,"None",NA,"None","2",0,"as new","2019"
8860,"house","house","225000","for sale",3,"160",0,"None",0,1,"None",0,"None",256,"None","2",0,"just renovated","1933"
1050,"apartment","ground floor","325000","for sale",2,"128",1,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
8000,"apartment","apartment","242500","for sale",1,"55",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
9080,"house","house","390000","for sale",3,"102",1,"None",0,0,"None",1,"300",348,"None","3",0,"good","1998"
8600,"house","house","275000","for sale",3,"125",1,"None",0,0,"None",1,"237",322,"None","2",0,"None","None"
3910,"house","house","210000","for sale",3,"138",1,"None",0,0,"None",1,"1062",1062,"None","4",0,"to be done up","1967"
9500,"house","mixed use building","864000","for sale",3,"646",1,"None",1,1,"20",1,"400",1710,"None","4",1,"good","1995"
2580,"house","house","580000","for sale",4,"None",0,"None",0,0,"None",1,"None",6314,"None","4",0,"good","1992"
4540,"apartment","apartment","195000","for sale",2,"110",0,"None",0,1,"None",0,"None",NA,"None","3",0,"as new","2020"
8420,"house","town house","290000","for sale",3,"174",0,"None",1,0,"None",0,"None",323,"None","4",0,"to be done up","1969"
8380,"apartment","duplex","525000","for sale",2,"155",1,"None",0,1,"16",0,"None",NA,"None","2",0,"good","1999"
8680,"house","house","249500","for sale",3,"None",0,"None",0,1,"None",0,"None",470,"None","4",0,"as new","None"
3500,"apartment","apartment","265000","for sale",2,"69",0,"None",0,1,"None",0,"None",NA,"None","2",0,"None","2005"
1380,"house","house","375000","for sale",3,"155",0,"None",0,1,"None",0,"None",435,"None","3",0,"good","1792"
9280,"apartment","apartment","319000","for sale",2,"134",0,"None",0,1,"34",1,"None",NA,"None","None",0,"as new","2020"
4020,"house","house","389000","for sale",3,"None",0,"None",0,0,"None",0,"None",1849,"None","4",0,"None","None"
8800,"house","house","326035","for sale",3,"174",0,"None",0,0,"None",1,"None",351,"None","3",0,"None","2019"
9450,"house","house","165000","for sale",2,"None",1,"None",0,0,"None",0,"None",0,"None","None",0,"to be done up","None"
3700,"apartment","loft","471461","for sale",2,"230",0,"None",0,1,"24",0,"None",NA,"None","3",0,"None","None"
8800,"house","house","606000","for sale",3,"None",0,"None",0,1,"None",0,"None",707,"None","None",0,"as new","None"
6030,"house","house","250600","for sale",3,"141",1,"None",0,1,"None",1,"116",205,"None","3",0,"as new","2021"
1300,"house","house","400000","for sale",3,"150",1,"None",0,1,"None",1,"None",1000,"None","4",0,"to be done up","None"
8210,"house","villa","315000","for sale",3,"None",0,"None",0,0,"None",0,"None",1106,"None","4",0,"to renovate","None"
5060,"house","villa","495000","for sale",4,"300",1,"None",0,1,"None",0,"None",1300,"None","4",0,"as new","2010"
2370,"house","house","299000","for sale",3,"150",1,"None",0,0,"None",0,"None",965,"None","4",0,"good","1962"
6790,"house","house","90000","for sale",4,"None",0,"None",0,1,"None",0,"None",268,"None","2",0,"to renovate","None"
1050,"apartment","apartment","615000","for sale",2,"113",0,"None",0,1,"None",0,"None",NA,"None","3",0,"as new","None"
1300,"apartment","apartment","225000","for sale",2,"105",1,"None",0,1,"10",0,"None",NA,"None","None",0,"to be done up","1970"
2000,"apartment","apartment","335000","for sale",2,"115",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
4030,"apartment","flat studio","69000","for sale",1,"30",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","None"
6030,"house","house","85000","for sale",6,"171",0,"None",0,0,"None",0,"None",220,"None","2",0,"to renovate","None"
8340,"house","house","249000","for sale",3,"127",0,"None",0,1,"None",0,"None",861,"None","4",0,"None","None"
9000,"apartment","apartment","282500","for sale",2,"73",0,"None",0,1,"8",0,"None",NA,"None","2",0,"good","2020"
4130,"house","house","50000","for sale",4,"295",1,"None",0,1,"55",1,"70",400,"None","4",0,"None","1919"
9000,"apartment","apartment","349000","for sale",1,"65",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
8434,"house","house","299000","for sale",3,"135",1,"None",0,0,"None",0,"None",277,"None","None",0,"as new","None"
1410,"apartment","penthouse","425000","for sale",3,"124",1,"None",0,1,"15",0,"None",NA,"None","None",0,"as new","None"
3001,"apartment","apartment","365500","for sale",2,"119",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
1785,"apartment","apartment","337700","for sale",3,"118",1,"None",0,0,"None",1,"None",NA,"None","3",0,"good","2019"
2050,"apartment","apartment","209000","for sale",2,"85",1,"None",0,1,"9",1,"None",NA,"None","None",0,"as new","None"
3118,"house","villa","589000","for sale",3,"210",1,"None",0,1,"None",0,"None",0,"None","4",0,"as new","2014"
4032,"house","house","169000","for sale",3,"120",0,"None",0,1,"14",1,"60",147,"None","2",0,"to be done up","None"
7850,"house","house","289000","for sale",3,"165",1,"None",0,0,"None",0,"None",0,"None","3",0,"None","None"
4800,"apartment","apartment","99000","for sale",2,"85",0,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","2010"
8620,"apartment","apartment","380000","for sale",2,"80",0,"None",0,1,"None",1,"None",NA,"None","None",0,"as new","2000"
4160,"apartment","apartment","179000","for sale",2,"70",1,"None",0,0,"None",1,"20",NA,"None","4",0,"as new","2013"
4257,"house","house","165000","for sale",3,"None",0,"None",0,0,"None",0,"None",1441,"None","2",0,"None","None"
9300,"house","house","370000","for sale",3,"115",0,"None",0,0,"None",1,"None",107,"None","3",0,"just renovated","None"
2630,"apartment","apartment","395000","for sale",2,"115",1,"None",0,0,"None",0,"None",NA,"None","None",0,"None","2020"
9100,"apartment","ground floor","425000","for sale",2,"146",1,"None",0,0,"None",1,"100",NA,"None","3",0,"good","2009"
2850,"house","mansion","455000","for sale",3,"265",0,"None",0,1,"33",0,"None",240,"None","2",0,"None","1936"
6220,"apartment","apartment","179000","for sale",4,"146",1,"None",0,1,"12",0,"None",NA,"None","None",0,"as new","1999"
9700,"apartment","ground floor","195000","for sale",2,"80",1,"None",0,0,"None",1,"56",NA,"None","None",0,"None","2020"
2610,"apartment","apartment","279000","for sale",2,"120",1,"None",0,1,"9",0,"None",NA,"None","2",0,"good","1972"
3800,"house","house","330000","for sale",3,"183",0,"None",0,0,"None",1,"2093",2093,"None","4",0,"good","1970"
9000,"apartment","apartment","675000","for sale",3,"128",1,"None",0,1,"None",1,"None",NA,"None","None",0,"None","None"
8670,"apartment","apartment","159000","for sale",2,"63",0,"None",0,1,"None",1,"None",NA,"None","None",0,"to be done up","1974"
6880,"house","house","165000","for sale",4,"None",1,"None",0,1,"None",0,"None",651,"None","4",0,"None","None"
5630,"house","villa","220000","for sale",4,"None",1,"None",1,1,"None",0,"None",2221,"None","4",0,"good","None"
9600,"house","mansion","469000","for sale",6,"451",1,"None",0,1,"None",0,"None",1260,"None","2",0,"to renovate","1850"
8930,"apartment","apartment","225000","for sale",0,"95",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","2019"
2811,"apartment","apartment","269000","for sale",3,"100",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","2005"
4900,"apartment","apartment","440000","for sale",2,"145",0,"None",0,1,"11",0,"None",NA,"None","4",0,"as new","2018"
3270,"apartment","apartment","264975","for sale",2,"97",1,"None",0,1,"6",0,"None",NA,"None","2",0,"good","None"
4577,"house","house","255000","for sale",4,"190",1,"None",0,1,"None",1,"70",242,"None","2",0,"good","1850"
8370,"apartment","ground floor","no price","for sale",1,"78",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","None"
9900,"apartment","apartment","224500","for sale",1,"74",1,"None",0,1,"18",1,"5000",NA,"None","4",0,"as new","2018"
9000,"apartment","apartment","229000","for sale",3,"120",1,"None",0,0,"None",0,"None",NA,"None","2",0,"just renovated","None"
2500,"apartment","apartment","195000","for sale",2,"None",1,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1979"
1730,"apartment","apartment","298000","for sale",2,"115",1,"None",0,1,"11",0,"None",NA,"None","2",0,"as new","2020"
7000,"house","house","149000","for sale",4,"168",1,"None",0,1,"14",1,"260",334,"None","2",0,"None","None"
1830,"apartment","duplex","307000","for sale",2,"99",1,"None",0,1,"9",0,"None",NA,"None","None",0,"as new","None"
6567,"house","house","115000","for sale",2,"75",1,"None",0,1,"20",1,"245",280,"None","3",0,"None","None"
8560,"apartment","apartment","130000","for sale",2,"90",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","None"
2490,"house","house","372000","for sale",3,"160",0,"None",0,0,"None",0,"None",1125,"None","4",0,"None","None"
2230,"house","country cottage","545000","for sale",4,"343",1,"None",0,1,"None",0,"None",4809,"None","4",0,"to be done up","1995"
2360,"house","villa","689000","for sale",3,"700",0,"None",0,1,"None",0,"None",2330,"None","4",0,"None","1995"
8770,"house","villa","435000","for sale",4,"270",0,"None",0,1,"None",0,"None",1190,"None","4",0,"to be done up","None"
8400,"apartment","apartment","159000","for sale",3,"97",1,"None",1,1,"None",0,"None",NA,"None","2",0,"good","1960"
3700,"apartment","apartment","260000","for sale",2,"94",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
3080,"apartment","apartment","395000","for sale",2,"92",1,"None",0,1,"42",0,"None",NA,"None","None",0,"as new","2015"
2000,"apartment","apartment","485000","for sale",2,"113",0,"None",0,1,"10",0,"None",NA,"None","None",0,"as new","2015"
2600,"apartment","apartment","349000","for sale",3,"150",1,"None",0,1,"28",0,"None",NA,"None","None",0,"good","None"
2431,"house","house","549000","for sale",5,"479",1,"None",0,0,"None",0,"None",15444,"None","4",0,"to be done up","1961"
2020,"apartment","apartment","258000","for sale",3,"110",1,"None",0,0,"None",0,"None",NA,"None","1",0,"good","None"
6040,"house","house","190000","for sale",4,"200",0,"None",0,1,"23",1,"800",1000,"None","3",0,"None","None"
3530,"house","house","210000","for sale",4,"120",0,"None",0,0,"None",0,"None",382,"None","3",0,"good","1952"
7190,"house","house","135000","for sale",2,"None",0,"None",0,0,"None",0,"None",130,"None","2",0,"to renovate","None"
2100,"house","mixed use building","359000","for sale",4,"220",1,"None",0,1,"8",1,"130",221,"None","2",0,"as new","None"
1060,"house","house","315000","for sale",3,"115",0,"None",0,0,"None",0,"None",43,"None","2",0,"good","None"
7061,"apartment","apartment","205000","for sale",3,"115",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2001"
8600,"apartment","apartment","178500","for sale",2,"71",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
3800,"apartment","apartment","139000","for sale",1,"72",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1993"
2900,"house","house","329000","for sale",5,"207",1,"None",0,1,"15",1,"166",270,"None","None",0,"good","None"
9100,"apartment","apartment","269790","for sale",3,"97",0,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2020"
9840,"apartment","penthouse","760000","for sale",2,"180",1,"None",0,1,"138",0,"None",NA,"None","4",0,"good","2009"
9988,"house","house","148000","for sale",4,"228",1,"None",0,0,"None",0,"None",290,"None","3",0,"to renovate","None"
9520,"apartment","apartment","222000","for sale",2,"70",0,"None",0,1,"19",0,"None",NA,"None","2",0,"None","None"
4602,"house","house","179000","for sale",4,"200",1,"None",0,1,"20",0,"None",1150,"None","4",0,"good","None"
8380,"apartment","apartment","275000","for sale",2,"88",1,"None",0,0,"None",0,"None",NA,"None","None",0,"None","2006"
2018,"apartment","apartment","288000","for sale",3,"None",1,"None",0,1,"12",0,"None",NA,"None","2",0,"as new","2020"
1000,"apartment","apartment","299000","for sale",2,"100",1,"None",0,1,"14",0,"None",NA,"None","None",0,"as new","2019"
4041,"apartment","apartment","209500","for sale",2,"71",1,"None",0,1,"16",1,"75",NA,"None","None",0,"None","2020"
4350,"apartment","duplex","235000","for sale",2,"99",1,"None",0,1,"21",0,"None",NA,"None","4",0,"as new","2013"
3401,"house","house","39000","for sale",3,"220",1,"None",1,1,"None",0,"None",1615,"None","4",0,"good","1969"
7640,"house","house","155000","for sale",3,"121",1,"None",0,1,"13",0,"None",260,"None","None",0,"to renovate","None"
7520,"house","house","164000","for sale",4,"131",1,"None",0,0,"None",1,"105",170,"None","2",0,"just renovated","1930"
1030,"apartment","apartment","109000","for sale",1,"35",0,"None",0,1,"8",0,"None",NA,"None","1",0,"good","1960"
2800,"house","house","100000","for sale",2,"None",0,"None",0,0,"None",0,"None",570,"None","2",0,"None","None"
6470,"house","house","149500","for sale",3,"145",1,"None",0,1,"12",1,"None",300,"None","3",0,"None","None"
2830,"house","villa","560000","for sale",3,"660",1,"None",0,1,"60",1,"1500",2200,"None","4",0,"good","1956"
2300,"house","exceptional property","750000","for sale",1,"None",1,"None",0,0,"None",0,"None",249,"None","2",0,"None","1883"
1020,"apartment","apartment","179000","for sale",1,"72",1,"None",0,1,"5",0,"None",NA,"None","2",0,"to be done up","1960"
8660,"apartment","apartment","285000","for sale",3,"141",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1976"
8500,"apartment","apartment","295500","for sale",2,"81",1,"None",0,1,"11",0,"None",NA,"None","4",0,"as new","None"
3210,"apartment","apartment","244870","for sale",1,"74",1,"None",0,1,"10",0,"None",NA,"None","None",0,"as new","None"
8300,"apartment","apartment","489000","for sale",2,"90",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1974"
4263,"house","villa","325000","for sale",4,"140",1,"None",0,1,"30",1,"None",600,"None","3",0,"None","2010"
1340,"apartment","apartment","245000","for sale",1,"72",1,"None",0,1,"9",0,"None",NA,"None","3",0,"None","None"
9000,"apartment","apartment","421000","for sale",2,"112",0,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
6250,"house","house","320000","for sale",3,"220",1,"None",0,0,"None",0,"None",1000,"None","4",0,"good","1998"
1040,"apartment","flat studio","163000","for sale",1,"40",0,"None",0,1,"None",0,"None",NA,"None","None",0,"to renovate","None"
4607,"apartment","ground floor","284350","for sale",2,"108",0,"None",0,0,"None",1,"129",NA,"None","None",0,"None","None"
9000,"apartment","apartment","236000","for sale",1,"61",0,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
6953,"house","house","345000","for sale",3,"160",1,"None",0,1,"30",1,"11000",11000,"None","4",0,"good","None"
8790,"apartment","apartment","229900","for sale",2,"None",0,"None",0,1,"None",0,"None",NA,"None","2",0,"as new","2018"
4400,"house","mixed use building","119000","for sale",3,"None",1,"None",0,0,"None",0,"None",251,"None","3",0,"to renovate","None"
2240,"apartment","apartment","299000","for sale",2,"96",1,"None",0,1,"43",0,"None",NA,"None","2",0,"as new","2008"
1300,"house","house","329000","for sale",2,"207",1,"None",1,1,"18",1,"225",400,"None","3",0,"None","None"
3350,"house","house","330000","for sale",3,"179",0,"None",0,0,"None",1,"704",704,"None","4",0,"good","2000"
7538,"house","house","140000","for sale",2,"139",1,"None",0,0,"None",1,"214",325,"None","3",0,"to restore","None"
1083,"house","house","375500","for sale",3,"120",0,"None",0,1,"None",1,"20",277,"None","3",0,"None","None"
3500,"house","house","279000","for sale",5,"None",0,"None",0,0,"None",0,"None",0,"None","None",0,"None","1953"
1180,"apartment","apartment","480000","for sale",3,"142",1,"None",0,1,"38",0,"None",NA,"None","None",0,"None","None"
1083,"apartment","apartment","198000","for sale",2,"88",1,"None",0,1,"12",0,"None",NA,"None","2",0,"as new","1970"
1300,"house","house","420000","for sale",3,"139",1,"None",0,0,"None",0,"None",725,"None","3",0,"as new","None"
6031,"house","house","85000","for sale",3,"None",1,"None",0,0,"None",0,"None",0,"None","2",0,"to be done up","None"
3960,"apartment","apartment","184800","for sale",0,"None",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","2013"
2240,"house","house","349000","for sale",3,"190",1,"None",0,1,"None",1,"580",772,"None","3",0,"just renovated","1966"
2200,"apartment","apartment","239000","for sale",2,"86",1,"None",0,1,"20",0,"None",NA,"None","2",0,"as new","2007"
8300,"apartment","apartment","630000","for sale",2,"85",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","2018"
8580,"house","house","280000","for sale",2,"225",0,"None",0,0,"None",1,"None",254,"None","None",0,"as new","None"
7000,"apartment","apartment","159000","for sale",2,"105",1,"None",0,1,"3",1,"None",NA,"None","None",0,"good","None"
5300,"house","house","169000","for sale",2,"95",1,"None",0,1,"36",1,"200",200,"None","4",0,"good","None"
4020,"house","house","87500","for sale",2,"67",1,"None",0,1,"10",1,"20",57,"None","3",0,"to be done up","None"
8820,"house","house","325000","for sale",3,"150",0,"None",0,0,"None",1,"None",487,"None","None",0,"None","2019"
1090,"apartment","apartment","169000","for sale",1,"55",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","1971"
9000,"apartment","apartment","239000","for sale",1,"70",0,"None",0,1,"None",1,"None",NA,"None","None",0,"as new","1998"
8434,"apartment","apartment","189000","for sale",2,"85",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","1965"
1340,"apartment","apartment","295000","for sale",2,"91",0,"None",0,1,"8",1,"206",NA,"None","None",0,"as new","None"
7370,"house","house","90000","for sale",3,"226",1,"None",0,0,"None",0,"None",331,"None","3",0,"to renovate","None"
9280,"apartment","apartment","189000","for sale",2,"86",0,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1992"
1030,"apartment","apartment","325000","for sale",3,"120",1,"None",0,1,"12",0,"None",NA,"None","2",0,"None","2012"
7321,"house","house","185000","for sale",4,"None",1,"None",0,0,"None",0,"None",210,"None","2",0,"good","None"
2180,"apartment","apartment","245000","for sale",2,"92",1,"None",0,1,"12",0,"None",NA,"None","None",0,"None","2020"
7134,"house","house","125000","for sale",3,"162",1,"None",0,0,"None",1,"None",846,"None","3",0,"to renovate","None"
8300,"apartment","apartment","465000","for sale",2,"78",1,"None",0,0,"None",0,"None",NA,"None","2",0,"None","1992"
5100,"house","house","720000","for sale",3,"None",0,"None",0,0,"None",0,"None",1630,"None","4",0,"None","None"
2000,"apartment","apartment","915000","for sale",4,"200",0,"None",0,1,"40",0,"None",NA,"None","None",0,"as new","None"
1200,"apartment","penthouse","840000","for sale",4,"274",1,"None",0,1,"93",0,"None",NA,"None","None",0,"as new","2018"
8530,"apartment","penthouse","250000","for sale",2,"None",1,"None",0,0,"None",0,"None",NA,"None","4",0,"good","None"
9700,"apartment","apartment","159000","for sale",1,"65",0,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
1348,"house","house","698000","for sale",5,"181",1,"None",0,1,"None",0,"None",518,"None","2",0,"None","1993"
8900,"apartment","duplex","236000","for sale",2,"111",0,"None",0,1,"7",0,"None",NA,"None","2",0,"None","2020"
5670,"house","house","100000","for sale",2,"155",1,"None",1,1,"20",1,"180",240,"None","2",0,"None","1900"
2650,"apartment","ground floor","329000","for sale",2,"96",1,"None",0,1,"15",0,"None",NA,"None","2",0,"None","None"
2800,"apartment","service flat","245000","for sale",1,"68",0,"None",0,1,"6",1,"27",NA,"None","2",0,"good","2019"
2480,"house","house","222000","for sale",3,"132",1,"None",0,0,"None",0,"None",353,"None","4",0,"to be done up","1965"
6661,"house","house","189000","for sale",4,"None",0,"None",0,1,"None",0,"None",2562,"None","3",0,"None","1950"
9120,"house","house","389000","for sale",3,"195",1,"None",0,1,"15",1,"None",367,"None","3",0,"good","1991"
8520,"house","house","268618","for sale",3,"None",0,"None",0,0,"None",0,"None",355,"None","2",0,"as new","None"
1030,"house","house","945000","for sale",6,"400",1,"None",0,1,"60",1,"100",312,"None","2",0,"good","1930"
2180,"apartment","apartment","158000","for sale",1,"74",1,"None",0,0,"None",0,"None",NA,"None","3",0,"None","None"
6461,"apartment","ground floor","110000","for sale",2,"80",1,"None",0,0,"None",0,"None",NA,"None","3",0,"good","None"
3010,"apartment","duplex","379000","for sale",4,"140",0,"None",0,1,"10",0,"None",NA,"None","2",0,"good","2001"
