chain,location,wage,full,part,date
burgerking,southNJ,5.05,0,22.5,nov1992
burgerking,southNJ,5.05,0,23,nov1992
burgerking,southNJ,5.05,30,25,nov1992
kfc,southNJ,5.05,10,3,nov1992
kfc,southNJ,5.05,2,11,nov1992
kfc,southNJ,5.05,1,8,nov1992
kfc,southNJ,5.05,1,14,nov1992
kfc,southNJ,5.05,0,9,nov1992
roys,southNJ,5.05,6,12,nov1992
roys,southNJ,5.05,3,15,nov1992
roys,southNJ,5.05,2,15,nov1992
roys,southNJ,5.05,2,15,nov1992
roys,southNJ,5.05,5,9,nov1992
roys,southNJ,5.05,3,10,nov1992
wendys,southNJ,5.05,0,23,nov1992
wendys,southNJ,5.1,5,16,nov1992
wendys,shoreNJ,5.05,15,11,nov1992
burgerking,northNJ,5.05,15,30,nov1992
roys,northNJ,5.05,12,35,nov1992
roys,northNJ,5.05,10,15,nov1992
roys,northNJ,5.05,5,22,nov1992
roys,northNJ,5.2,25,25,nov1992
wendys,northNJ,5.05,3,23,nov1992
burgerking,shoreNJ,5.05,3,2,nov1992
burgerking,shoreNJ,5.05,0,30,nov1992
burgerking,shoreNJ,5.25,15,6,nov1992
burgerking,shoreNJ,5.05,12,14,nov1992
burgerking,shoreNJ,5.05,4,0,nov1992
kfc,shoreNJ,5.05,7,6,nov1992
kfc,shoreNJ,5.05,22,4,nov1992
roys,shoreNJ,5.05,12,5,nov1992
roys,shoreNJ,5.05,1,15,nov1992
burgerking,centralNJ,5.05,3,20,nov1992
burgerking,southNJ,5.05,10,20,nov1992
burgerking,southNJ,5.05,25,5,nov1992
burgerking,southNJ,5.05,5,9,nov1992
burgerking,southNJ,5.05,15,17,nov1992
kfc,southNJ,5.05,3,7,nov1992
kfc,southNJ,5.05,4,11,nov1992
roys,southNJ,5.05,5,20,nov1992
roys,southNJ,5.05,10,20,nov1992
burgerking,southNJ,5.05,0,26,nov1992
burgerking,southNJ,5.05,5,32,nov1992
burgerking,southNJ,5.05,4,23,nov1992
kfc,southNJ,5.05,24,4,nov1992
kfc,southNJ,5.2,14,7,nov1992
kfc,southNJ,5.05,1,30,nov1992
roys,southNJ,5.05,1,19,nov1992
wendys,southNJ,5.05,0,25,nov1992
burgerking,northNJ,5.05,26,5,nov1992
burgerking,northNJ,5.05,0,17,nov1992
burgerking,northNJ,5.05,11,12,nov1992
burgerking,northNJ,5.05,28,6,nov1992
burgerking,northNJ,5.05,15,14,nov1992
burgerking,northNJ,5.05,7,2,nov1992
burgerking,northNJ,5.05,15,14,nov1992
burgerking,northNJ,5.05,14,10,nov1992
kfc,northNJ,5.05,12,7,nov1992
kfc,northNJ,5.25,18,4,nov1992
roys,northNJ,5.4,8,30,nov1992
roys,northNJ,5.05,6,15,nov1992
roys,northNJ,5.05,25,15,nov1992
roys,northNJ,5.05,18,18,nov1992
roys,northNJ,5.05,8,24,nov1992
roys,northNJ,5.05,5,27,nov1992
roys,northNJ,5.05,17,5,nov1992
roys,northNJ,5.05,1.5,15,nov1992
burgerking,northNJ,5.05,0,35,nov1992
burgerking,northNJ,5.05,4,36,nov1992
kfc,centralNJ,5.05,0,13,nov1992
burgerking,northNJ,5.05,0,20,nov1992
burgerking,northNJ,5.05,13,9,nov1992
burgerking,northNJ,5.05,0,38,nov1992
burgerking,northNJ,5.05,13,17,nov1992
burgerking,northNJ,5.05,0,35,nov1992
kfc,northNJ,5.05,5,5,nov1992
kfc,northNJ,5.05,25,7,nov1992
kfc,northNJ,5.05,5,10,nov1992
kfc,northNJ,5.25,19,3.5,nov1992
kfc,northNJ,5.25,12,3,nov1992
roys,northNJ,5.05,5,25,nov1992
wendys,northNJ,5.05,0,35,nov1992
wendys,northNJ,5.14,10,24,nov1992
